ma_chi_tiet,ma_don,ma_san_pham,ma_lich,ngay_khoi_hanh,so_luong,don_gia,thanh_tien
CT000037,DH00027,SP0039,LKD000566,2026-02-28,4,402000,1608000
CT000038,DH00027,SP0087,LKD001352,2026-01-26,3,517000,1551000
CT000039,DH00028,SP0102,LKD001593,2026-01-05,4,3680000,14720000
CT000040,DH00028,SP0095,LKD001488,2026-02-25,2,2530000,5060000
CT000041,DH00029,SP0125,LKD001928,2026-01-20,2,977000,1954000
CT000042,DH00029,SP0036,LKD000512,2026-02-16,3,3680000,11040000
CT000043,DH00030,SP0097,LKD001512,2026-02-04,1,793000,793000
CT000044,DH00030,SP0130,LKD002008,2026-01-29,2,7475000,14950000
CT000045,DH00030,SP0048,LKD000719,2026-01-25,1,2530000,2530000
CT000046,DH00031,SP0137,LKD002099,2026-01-14,4,207000,828000
CT000047,DH00031,SP0020,LKD000262,2026-01-29,2,977000,1954000
CT000048,DH00032,SP0049,LKD000727,2026-01-05,4,207000,828000
CT000049,DH00033,SP0055,LKD000829,2026-01-05,2,2174000,4348000
CT000050,DH00034,SP0117,LKD001826,2026-01-08,1,138000,138000
CT000051,DH00035,SP0058,LKD000887,2026-01-29,1,7475000,7475000
CT000052,DH00036,SP0087,LKD001359,2026-02-16,2,517000,1034000
CT000053,DH00037,SP0065,LKD000988,2026-02-14,1,172000,172000
CT000054,DH00038,SP0044,LKD000644,2026-02-01,1,793000,793000
CT000055,DH00039,SP0062,LKD000942,2026-01-09,2,2530000,5060000
CT000056,DH00040,SP0100,LKD001569,2026-02-22,2,598000,1196000
CT000057,DH00040,SP0024,LKD000344,2026-02-26,1,207000,207000
CT000058,DH00041,SP0018,LKD000237,2026-01-30,2,103000,206000
CT000059,DH00042,SP0126,LKD001945,2026-01-15,3,7475000,22425000
CT000060,DH00042,SP0013,LKD000162,2026-01-25,3,103000,309000
CT000061,DH00043,SP0130,LKD002003,2026-01-09,2,7475000,14950000
CT000062,DH00043,SP0043,LKD000632,2026-02-25,4,1127000,4508000
CT000063,DH00044,SP0116,LKD001808,2026-01-14,4,2530000,10120000
CT000064,DH00045,SP0092,LKD001441,2026-02-04,2,207000,414000
CT000065,DH00046,SP0081,LKD001245,2026-01-11,3,172000,516000
CT000066,DH00047,SP0125,LKD001931,2026-01-29,1,977000,977000
CT000067,DH00047,SP0075,LKD001160,2026-03-03,2,402000,804000
CT000068,DH00047,SP0036,LKD000512,2026-02-16,1,3680000,3680000
CT000069,DH00048,SP0074,LKD001136,2026-02-19,4,3680000,14720000
CT000070,DH00049,SP0097,LKD001510,2026-01-25,4,793000,3172000
CT000071,DH00049,SP0138,LKD002118,2026-01-11,1,57000,57000
CT000072,DH00049,SP0010,LKD000129,2026-02-26,2,977000,1954000
CT000073,DH00050,SP0077,LKD001175,2026-01-13,3,207000,621000
CT000074,DH00050,SP0051,LKD000776,2026-02-16,4,207000,828000
CT000075,DH00051,SP0056,LKD000859,2026-02-24,1,517000,517000
CT000076,DH00051,SP0021,LKD000284,2026-02-13,4,288000,1152000
CT000077,DH00051,SP0083,LKD001282,2026-01-25,2,517000,1034000
CT000078,DH00052,SP0134,LKD002069,2026-02-13,3,862000,2586000
CT000079,DH00053,SP0088,LKD001365,2026-01-05,1,1127000,1127000
CT000080,DH00054,SP0121,LKD001871,2026-01-13,4,3680000,14720000
CT000081,DH00054,SP0087,LKD001345,2026-01-05,1,517000,517000
CT000082,DH00054,SP0067,LKD001026,2026-03-03,2,57000,114000
CT000083,DH00055,SP0001,LKD000001,2026-01-05,1,57000,57000
CT000084,DH00056,SP0073,LKD001118,2026-02-25,2,1667000,3334000
CT000085,DH00057,SP0114,LKD001785,2026-02-10,4,299000,1196000
CT000086,DH00057,SP0083,LKD001280,2026-01-15,1,517000,517000
CT000087,DH00058,SP0076,LKD001171,2026-02-24,2,1127000,2254000
CT000088,DH00059,SP0041,LKD000584,2026-01-08,1,207000,207000
CT000089,DH00059,SP0045,LKD000660,2026-01-20,1,1667000,1667000
CT000090,DH00060,SP0006,LKD000083,2026-03-01,1,517000,517000
CT000091,DH00060,SP0073,LKD001115,2026-02-16,2,1667000,3334000
CT000092,DH00061,SP0091,LKD001426,2026-02-07,4,977000,3908000
CT000093,DH00062,SP0029,LKD000409,2026-02-09,3,7475000,22425000
CT000094,DH00063,SP0138,LKD002131,2026-02-19,1,57000,57000
CT000095,DH00063,SP0046,LKD000676,2026-01-08,1,57000,57000
CT000096,DH00064,SP0077,LKD001173,2026-01-05,1,207000,207000
CT000097,DH00065,SP0079,LKD001216,2026-02-06,2,1484000,2968000
CT000098,DH00066,SP0095,LKD001490,2026-03-03,3,2530000,7590000
CT000099,DH00067,SP0099,LKD001550,2026-02-22,3,862000,2586000
CT000100,DH00068,SP0124,LKD001915,2026-01-25,2,57000,114000
CT000101,DH00068,SP0095,LKD001477,2026-01-23,1,2530000,2530000
CT000102,DH00069,SP0091,LKD001427,2026-02-10,2,977000,1954000
CT000103,DH00069,SP0047,LKD000712,2026-02-25,2,207000,414000
CT000104,DH00069,SP0080,LKD001227,2026-01-17,4,517000,2068000
CT000105,DH00070,SP0089,LKD001385,2026-01-20,3,862000,2586000
CT000106,DH00070,SP0133,LKD002043,2026-01-13,2,552000,1104000
CT000107,DH00071,SP0066,LKD001002,2026-02-14,3,552000,1656000
CT000108,DH00072,SP0012,LKD000152,2026-02-04,4,103000,412000
CT000109,DH00073,SP0136,LKD002085,2026-02-01,2,1127000,2254000
CT000110,DH00073,SP0001,LKD000009,2026-01-29,1,57000,57000
CT000111,DH00074,SP0002,LKD000028,2026-02-02,2,2530000,5060000
CT000112,DH00075,SP0122,LKD001889,2026-01-25,3,977000,2931000
CT000113,DH00076,SP0136,LKD002081,2026-01-20,3,1127000,3381000
CT000114,DH00077,SP0012,LKD000149,2026-01-20,3,103000,309000
CT000115,DH00078,SP0051,LKD000777,2026-02-19,2,207000,414000
CT000116,DH00079,SP0101,LKD001576,2026-01-14,2,207000,414000
CT000117,DH00079,SP0072,LKD001092,2026-01-20,3,138000,414000
CT000118,DH00080,SP0133,LKD002049,2026-02-06,2,552000,1104000
CT000119,DH00081,SP0023,LKD000327,2026-02-22,4,977000,3908000
CT000120,DH00081,SP0103,LKD001605,2026-01-05,1,517000,517000
CT000121,DH00082,SP0046,LKD000675,2026-01-05,4,57000,228000
CT000122,DH00082,SP0073,LKD001119,2026-02-28,2,1667000,3334000
CT000123,DH00083,SP0126,LKD001951,2026-02-14,1,7475000,7475000
CT000124,DH00083,SP0054,LKD000826,2026-02-25,3,1127000,3381000
CT000125,DH00084,SP0008,LKD000093,2026-02-01,2,2818000,5636000
CT000126,DH00084,SP0108,LKD001682,2026-01-29,4,552000,2208000
CT000127,DH00085,SP0059,LKD000897,2026-01-09,1,1127000,1127000
CT000128,DH00086,SP0125,LKD001928,2026-01-20,4,977000,3908000
CT000129,DH00087,SP0071,LKD001079,2026-01-15,2,1127000,2254000
CT000130,DH00087,SP0095,LKD001489,2026-02-28,1,2530000,2530000
CT000131,DH00088,SP0103,LKD001609,2026-01-21,4,517000,2068000
CT000132,DH00089,SP0015,LKD000189,2026-01-21,1,207000,207000
CT000133,DH00090,SP0122,LKD001889,2026-01-25,2,977000,1954000
CT000134,DH00090,SP0047,LKD000711,2026-02-22,3,207000,621000
CT000135,DH00090,SP0125,LKD001925,2026-01-11,4,977000,3908000
CT000136,DH00091,SP0062,LKD000942,2026-01-09,1,2530000,2530000
CT000137,DH00091,SP0055,LKD000841,2026-02-10,2,2174000,4348000
CT000138,DH00092,SP0020,LKD000258,2026-01-13,2,977000,1954000
CT000139,DH00093,SP0136,LKD002090,2026-02-16,4,1127000,4508000
CT000140,DH00094,SP0087,LKD001352,2026-01-26,2,517000,1034000
CT000141,DH00095,SP0117,LKD001832,2026-01-26,1,138000,138000
CT000142,DH00096,SP0059,LKD000910,2026-03-02,1,1127000,1127000
CT000143,DH00096,SP0081,LKD001252,2026-02-01,1,172000,172000
CT000144,DH00097,SP0063,LKD000961,2026-01-30,1,288000,288000
CT000145,DH00098,SP0018,LKD000240,2026-02-14,3,103000,309000
CT000146,DH00098,SP0015,LKD000192,2026-02-02,3,207000,621000
CT000147,DH00099,SP0108,LKD001678,2026-01-17,1,552000,552000
CT000148,DH00099,SP0044,LKD000637,2026-01-11,1,793000,793000
CT000149,DH00100,SP0130,LKD002016,2026-03-02,2,7475000,14950000
CT000150,DH00101,SP0006,LKD000079,2026-02-09,2,517000,1034000
CT000151,DH00102,SP0100,LKD001567,2026-02-16,4,598000,2392000
CT000152,DH00103,SP0072,LKD001097,2026-02-14,2,138000,276000
CT000153,DH00103,SP0073,LKD001105,2026-01-17,1,1667000,1667000
CT000154,DH00104,SP0025,LKD000346,2026-01-05,1,1127000,1127000
CT000155,DH00105,SP0049,LKD000738,2026-02-18,3,207000,621000
CT000156,DH00105,SP0014,LKD000171,2026-01-09,4,57000,228000
CT000157,DH00106,SP0069,LKD001042,2026-01-05,4,138000,552000
CT000158,DH00107,SP0010,LKD000129,2026-02-26,4,977000,3908000
CT000159,DH00107,SP0080,LKD001229,2026-01-23,3,517000,1551000
CT000160,DH00108,SP0095,LKD001485,2026-02-16,2,2530000,5060000
CT000161,DH00109,SP0105,LKD001636,2026-01-10,1,288000,288000
CT000162,DH00109,SP0060,LKD000920,2026-02-10,4,598000,2392000
CT000163,DH00109,SP0046,LKD000675,2026-01-05,4,57000,228000
CT000164,DH00110,SP0051,LKD000775,2026-02-13,2,207000,414000
CT000165,DH00111,SP0109,LKD001699,2026-01-20,2,2530000,5060000
CT000166,DH00112,SP0035,LKD000495,2026-02-22,3,299000,897000
CT000167,DH00113,SP0069,LKD001042,2026-01-05,2,138000,276000
CT000168,DH00113,SP0053,LKD000808,2026-03-01,2,207000,414000
CT000169,DH00114,SP0102,LKD001598,2026-01-30,1,3680000,3680000
CT000170,DH00114,SP0030,LKD000424,2026-02-24,1,1667000,1667000
CT000171,DH00115,SP0008,LKD000089,2026-01-20,4,2818000,11272000
CT000172,DH00116,SP0116,LKD001824,2026-03-03,3,2530000,7590000
CT000173,DH00117,SP0046,LKD000682,2026-01-26,4,57000,228000
CT000174,DH00118,SP0026,LKD000369,2026-01-20,2,138000,276000
CT000175,DH00119,SP0131,LKD002019,2026-01-15,2,977000,1954000
CT000176,DH00119,SP0013,LKD000158,2026-01-05,1,103000,103000
CT000177,DH00120,SP0060,LKD000920,2026-02-10,1,598000,598000
CT000178,DH00121,SP0092,LKD001440,2026-01-30,2,207000,414000
CT000179,DH00122,SP0064,LKD000979,2026-03-01,4,517000,2068000
CT000180,DH00122,SP0090,LKD001412,2026-02-22,4,402000,1608000
CT000181,DH00123,SP0114,LKD001779,2026-01-23,1,299000,299000
CT000182,DH00124,SP0083,LKD001287,2026-02-19,3,517000,1551000
CT000183,DH00125,SP0136,LKD002082,2026-01-23,4,1127000,4508000
CT000184,DH00126,SP0136,LKD002078,2026-01-11,1,1127000,1127000
CT000185,DH00127,SP0140,LKD002139,2026-01-17,2,7475000,14950000
CT000186,DH00127,SP0106,LKD001659,2026-02-22,1,1127000,1127000
CT000187,DH00128,SP0136,LKD002094,2026-02-28,2,1127000,2254000
CT000188,DH00128,SP0081,LKD001248,2026-01-20,3,172000,516000
CT000189,DH00129,SP0050,LKD000751,2026-02-01,3,207000,621000
CT000190,DH00130,SP0063,LKD000961,2026-01-30,3,288000,864000
CT000191,DH00130,SP0058,LKD000889,2026-02-06,3,7475000,22425000
CT000192,DH00131,SP0020,LKD000265,2026-02-10,1,977000,977000
CT000193,DH00132,SP0011,LKD000131,2026-01-05,3,1667000,5001000
CT000194,DH00133,SP0001,LKD000011,2026-02-04,4,57000,228000
CT000195,DH00133,SP0122,LKD001889,2026-01-25,4,977000,3908000
CT000196,DH00134,SP0057,LKD000871,2026-02-04,2,402000,804000
CT000197,DH00134,SP0109,LKD001695,2026-01-08,1,2530000,2530000
CT000198,DH00135,SP0131,LKD002028,2026-03-01,2,977000,1954000
CT000199,DH00135,SP0111,LKD001746,2026-02-22,2,402000,804000
CT000200,DH00136,SP0058,LKD000888,2026-02-02,3,7475000,22425000
CT000201,DH00137,SP0031,LKD000430,2026-01-21,1,57000,57000
CT000202,DH00138,SP0109,LKD001704,2026-02-04,2,2530000,5060000
CT000203,DH00138,SP0110,LKD001727,2026-02-13,1,103000,103000
CT000204,DH00139,SP0095,LKD001487,2026-02-22,1,2530000,2530000
CT000205,DH00139,SP0026,LKD000366,2026-01-05,4,138000,552000
CT000206,DH00140,SP0117,LKD001843,2026-02-28,2,138000,276000
CT000207,DH00141,SP0133,LKD002046,2026-01-25,1,552000,552000
CT000208,DH00142,SP0108,LKD001683,2026-02-01,4,552000,2208000
CT000209,DH00143,SP0009,LKD000110,2026-02-04,3,552000,1656000
CT000210,DH00144,SP0123,LKD001908,2026-02-19,2,2174000,4348000
CT000211,DH00144,SP0062,LKD000955,2026-03-02,1,2530000,2530000
CT000212,DH00145,SP0041,LKD000600,2026-02-25,4,207000,828000
CT000213,DH00146,SP0039,LKD000548,2026-01-05,4,402000,1608000
CT000214,DH00147,SP0078,LKD001192,2026-01-17,1,2818000,2818000
CT000215,DH00148,SP0037,LKD000532,2026-03-02,1,598000,598000
CT000216,DH00149,SP0137,LKD002103,2026-01-26,2,207000,414000
CT000217,DH00149,SP0068,LKD001041,2026-03-02,4,2174000,8696000
CT000218,DH00150,SP0090,LKD001406,2026-01-29,1,402000,402000
CT000219,DH00150,SP0073,LKD001109,2026-01-29,2,1667000,3334000
CT000220,DH00150,SP0097,LKD001506,2026-01-05,3,793000,2379000
CT000221,DH00151,SP0017,LKD000224,2026-01-25,1,862000,862000
CT000222,DH00152,SP0015,LKD000199,2026-03-02,3,207000,621000
CT000223,DH00152,SP0082,LKD001275,2026-02-22,2,402000,804000
CT000224,DH00153,SP0039,LKD000554,2026-01-23,1,402000,402000
CT000225,DH00154,SP0045,LKD000665,2026-02-04,2,1667000,3334000
CT000226,DH00155,SP0023,LKD000311,2026-01-05,4,977000,3908000
CT000227,DH00156,SP0026,LKD000374,2026-02-14,3,138000,414000
CT000228,DH00157,SP0004,LKD000056,2026-02-14,1,57000,57000
CT000229,DH00158,SP0070,LKD001059,2026-01-11,2,172000,344000
CT000230,DH00159,SP0043,LKD000631,2026-02-22,4,1127000,4508000
CT000231,DH00160,SP0118,LKD001852,2026-02-09,1,207000,207000
CT000232,DH00160,SP0091,LKD001429,2026-02-16,3,977000,2931000
CT000233,DH00161,SP0101,LKD001575,2026-01-11,1,207000,207000
CT000234,DH00161,SP0130,LKD002010,2026-02-06,1,7475000,7475000
CT000235,DH00162,SP0110,LKD001726,2026-02-10,1,103000,103000
CT000236,DH00163,SP0022,LKD000295,2026-01-17,3,138000,414000
CT000237,DH00164,SP0025,LKD000349,2026-01-14,3,1127000,3381000
CT000238,DH00165,SP0117,LKD001829,2026-01-17,3,138000,414000
CT000239,DH00166,SP0037,LKD000524,2026-01-29,4,598000,2392000
CT000240,DH00167,SP0037,LKD000527,2026-02-10,3,598000,1794000
CT000241,DH00168,SP0082,LKD001273,2026-02-14,1,402000,402000
CT000242,DH00169,SP0101,LKD001586,2026-02-13,4,207000,828000
CT000243,DH00170,SP0117,LKD001827,2026-01-11,2,138000,276000
CT000244,DH00170,SP0056,LKD000849,2026-01-05,1,517000,517000
CT000245,DH00171,SP0068,LKD001036,2026-02-10,2,2174000,4348000
CT000246,DH00171,SP0104,LKD001625,2026-01-25,1,138000,138000
CT000247,DH00172,SP0100,LKD001564,2026-02-07,3,598000,1794000
CT000248,DH00173,SP0100,LKD001571,2026-02-28,4,598000,2392000
CT000249,DH00174,SP0126,LKD001946,2026-01-20,2,7475000,14950000
CT000250,DH00175,SP0099,LKD001552,2026-03-02,4,862000,3448000
CT000251,DH00176,SP0100,LKD001567,2026-02-16,3,598000,1794000
CT000252,DH00177,SP0091,LKD001430,2026-02-19,3,977000,2931000
CT000253,DH00177,SP0070,LKD001060,2026-01-14,1,172000,172000
CT000254,DH00177,SP0078,LKD001189,2026-01-08,4,2818000,11272000
CT000255,DH00178,SP0086,LKD001331,2026-01-23,3,977000,2931000
CT000256,DH00179,SP0123,LKD001903,2026-01-25,4,2174000,8696000
CT000257,DH00180,SP0121,LKD001877,2026-02-06,1,3680000,3680000
CT000258,DH00180,SP0022,LKD000309,2026-02-28,3,138000,414000
CT000259,DH00181,SP0049,LKD000731,2026-01-21,4,207000,828000
CT000260,DH00182,SP0061,LKD000931,2026-01-25,4,57000,228000
CT000261,DH00182,SP0138,LKD002135,2026-03-03,2,57000,114000
CT000262,DH00183,SP0134,LKD002057,2026-01-08,2,862000,1724000
CT000263,DH00184,SP0116,LKD001815,2026-02-04,2,2530000,5060000
CT000264,DH00184,SP0058,LKD000890,2026-02-10,3,7475000,22425000
CT000265,DH00185,SP0138,LKD002123,2026-01-26,4,57000,228000
CT000266,DH00186,SP0023,LKD000311,2026-01-05,3,977000,2931000
CT000267,DH00186,SP0069,LKD001055,2026-02-26,1,138000,138000
CT000268,DH00187,SP0109,LKD001708,2026-02-16,1,2530000,2530000
CT000269,DH00187,SP0003,LKD000036,2026-01-05,1,207000,207000
CT000270,DH00188,SP0052,LKD000786,2026-01-21,4,517000,2068000
CT000271,DH00188,SP0062,LKD000953,2026-02-22,2,2530000,5060000
CT000272,DH00189,SP0087,LKD001364,2026-03-03,2,517000,1034000
CT000273,DH00189,SP0073,LKD001120,2026-03-03,2,1667000,3334000
CT000274,DH00190,SP0036,LKD000517,2026-03-03,4,3680000,14720000
CT000275,DH00191,SP0025,LKD000349,2026-01-14,3,1127000,3381000
CT000276,DH00192,SP0026,LKD000377,2026-03-01,3,138000,414000
CT000277,DH00193,SP0090,LKD001408,2026-02-06,2,402000,804000
CT000278,DH00193,SP0109,LKD001698,2026-01-17,1,2530000,2530000
CT000279,DH00193,SP0040,LKD000569,2026-01-09,1,172000,172000
CT000280,DH00194,SP0126,LKD001953,2026-02-24,1,7475000,7475000
CT000281,DH00195,SP0082,LKD001264,2026-01-09,3,402000,1206000
CT000282,DH00196,SP0016,LKD000201,2026-01-08,1,977000,977000
CT000283,DH00197,SP0123,LKD001902,2026-01-20,1,2174000,2174000
CT000284,DH00197,SP0128,LKD001974,2026-01-26,1,598000,598000
CT000285,DH00198,SP0079,LKD001218,2026-02-14,4,1484000,5936000
CT000286,DH00199,SP0047,LKD000703,2026-01-29,3,207000,621000
CT000287,DH00200,SP0136,LKD002087,2026-02-07,1,1127000,1127000
CT000288,DH00201,SP0088,LKD001374,2026-02-10,1,1127000,1127000
CT000289,DH00202,SP0099,LKD001545,2026-02-02,4,862000,3448000
CT000290,DH00203,SP0107,LKD001668,2026-02-04,4,288000,1152000
CT000291,DH00204,SP0023,LKD000311,2026-01-05,4,977000,3908000
CT000292,DH00205,SP0050,LKD000748,2026-01-23,4,207000,828000
CT000293,DH00206,SP0027,LKD000387,2026-02-19,2,172000,344000
CT000294,DH00207,SP0009,LKD000106,2026-01-15,1,552000,552000
CT000295,DH00208,SP0093,LKD001450,2026-01-20,4,207000,828000
CT000296,DH00208,SP0017,LKD000224,2026-01-25,3,862000,2586000
CT000297,DH00209,SP0044,LKD000638,2026-01-14,3,793000,2379000
CT000298,DH00210,SP0128,LKD001972,2026-01-20,3,598000,1794000
CT000299,DH00210,SP0138,LKD002127,2026-02-07,3,57000,171000
CT000300,DH00210,SP0089,LKD001397,2026-02-25,2,862000,1724000
CT000301,DH00211,SP0096,LKD001499,2026-02-06,1,57000,57000
CT000302,DH00212,SP0136,LKD002080,2026-01-17,2,1127000,2254000
CT000303,DH00213,SP0109,LKD001712,2026-02-28,1,2530000,2530000
CT000304,DH00214,SP0026,LKD000369,2026-01-20,4,138000,552000
CT000305,DH00215,SP0125,LKD001928,2026-01-20,4,977000,3908000
CT000306,DH00216,SP0024,LKD000344,2026-02-26,3,207000,621000
CT000307,DH00216,SP0091,LKD001429,2026-02-16,2,977000,1954000
CT000308,DH00217,SP0123,LKD001910,2026-03-01,3,2174000,6522000
CT000309,DH00217,SP0034,LKD000470,2026-01-13,3,402000,1206000
CT000310,DH00218,SP0060,LKD000912,2026-01-09,3,598000,1794000
CT000311,DH00219,SP0078,LKD001192,2026-01-17,2,2818000,5636000
CT000312,DH00220,SP0036,LKD000508,2026-02-04,3,3680000,11040000
CT000313,DH00221,SP0060,LKD000915,2026-01-21,3,598000,1794000
CT000314,DH00222,SP0002,LKD000021,2026-01-05,2,2530000,5060000
CT000315,DH00223,SP0017,LKD000224,2026-01-25,4,862000,3448000
CT000316,DH00223,SP0037,LKD000527,2026-02-10,1,598000,598000
CT000317,DH00224,SP0048,LKD000718,2026-01-20,3,2530000,7590000
CT000318,DH00225,SP0081,LKD001251,2026-01-29,2,172000,344000
CT000319,DH00225,SP0050,LKD000758,2026-02-22,4,207000,828000
CT000320,DH00226,SP0042,LKD000606,2026-01-20,2,977000,1954000
CT000321,DH00226,SP0072,LKD001090,2026-01-10,1,138000,138000
CT000322,DH00227,SP0136,LKD002079,2026-01-14,3,1127000,3381000
CT000323,DH00228,SP0098,LKD001534,2026-02-22,4,3680000,14720000
CT000324,DH00228,SP0081,LKD001247,2026-01-17,1,172000,172000
CT000325,DH00229,SP0075,LKD001152,2026-02-07,3,402000,1206000
CT000326,DH00230,SP0025,LKD000355,2026-02-01,4,1127000,4508000
CT000327,DH00230,SP0015,LKD000196,2026-02-18,3,207000,621000
CT000328,DH00231,SP0092,LKD001445,2026-02-24,2,207000,414000
CT000329,DH00232,SP0100,LKD001563,2026-02-04,3,598000,1794000
CT000330,DH00233,SP0037,LKD000521,2026-01-17,2,598000,1196000
CT000331,DH00234,SP0036,LKD000515,2026-02-25,2,3680000,7360000
CT000332,DH00235,SP0067,LKD001016,2026-02-01,4,57000,228000
CT000333,DH00236,SP0093,LKD001447,2026-01-05,1,207000,207000
CT000334,DH00237,SP0037,LKD000530,2026-02-22,1,598000,598000
CT000335,DH00238,SP0118,LKD001849,2026-01-25,3,207000,621000
CT000336,DH00239,SP0056,LKD000849,2026-01-05,2,517000,1034000
CT000337,DH00240,SP0025,LKD000360,2026-02-16,2,1127000,2254000
CT000338,DH00241,SP0054,LKD000820,2026-02-07,3,1127000,3381000
CT000339,DH00242,SP0078,LKD001193,2026-01-20,4,2818000,11272000
CT000340,DH00242,SP0114,LKD001782,2026-02-01,4,299000,1196000
CT000341,DH00242,SP0085,LKD001313,2026-01-29,2,299000,598000
CT000342,DH00243,SP0005,LKD000060,2026-01-05,1,1667000,1667000
CT000343,DH00244,SP0045,LKD000666,2026-02-07,2,1667000,3334000
CT000344,DH00245,SP0126,LKD001943,2026-01-05,4,7475000,29900000
CT000345,DH00246,SP0111,LKD001748,2026-03-02,2,402000,804000
CT000346,DH00246,SP0095,LKD001476,2026-01-20,4,2530000,10120000
CT000347,DH00247,SP0004,LKD000052,2026-01-25,1,57000,57000
CT000348,DH00247,SP0061,LKD000938,2026-02-22,2,57000,114000
CT000349,DH00248,SP0090,LKD001405,2026-01-25,2,402000,804000
CT000350,DH00249,SP0006,LKD000077,2026-01-30,2,517000,1034000
CT000351,DH00249,SP0133,LKD002044,2026-01-17,4,552000,2208000
CT000352,DH00249,SP0029,LKD000408,2026-02-04,3,7475000,22425000
CT000353,DH00250,SP0068,LKD001036,2026-02-10,4,2174000,8696000
CT000354,DH00251,SP0018,LKD000241,2026-02-19,1,103000,103000
CT000355,DH00252,SP0109,LKD001707,2026-02-13,2,2530000,5060000
CT000356,DH00252,SP0091,LKD001433,2026-02-28,2,977000,1954000
CT000357,DH00253,SP0128,LKD001969,2026-01-11,1,598000,598000
CT000358,DH00254,SP0118,LKD001845,2026-01-05,2,207000,414000
CT000359,DH00255,SP0103,LKD001618,2026-02-26,4,517000,2068000
CT000360,DH00256,SP0076,LKD001171,2026-02-24,1,1127000,1127000
CT000361,DH00257,SP0054,LKD000827,2026-02-28,2,1127000,2254000
CT000362,DH00257,SP0092,LKD001446,2026-03-01,3,207000,621000
CT000363,DH00258,SP0098,LKD001530,2026-02-10,2,3680000,7360000
CT000364,DH00259,SP0121,LKD001880,2026-02-18,1,3680000,3680000
CT000365,DH00260,SP0032,LKD000444,2026-01-17,1,2818000,2818000
