ma_lich,ma_san_pham,ngay_khoi_hanh,tong_cho,da_dat,con_lai,trang_thai
LKD000117,SP0010,2026-01-09,20,15,5,mo_ban
LKD000118,SP0010,2026-01-13,20,3,17,mo_ban
LKD000119,SP0010,2026-01-17,20,18,2,mo_ban
LKD000120,SP0010,2026-01-21,20,1,19,mo_ban
LKD000121,SP0010,2026-01-25,20,3,17,mo_ban
LKD000122,SP0010,2026-01-29,20,11,9,mo_ban
LKD000123,SP0010,2026-02-02,20,17,3,mo_ban
LKD000124,SP0010,2026-02-06,20,20,0,het_cho
LKD000125,SP0010,2026-02-10,20,3,17,mo_ban
LKD000126,SP0010,2026-02-14,20,20,0,het_cho
LKD000127,SP0010,2026-02-18,20,1,19,mo_ban
LKD000128,SP0010,2026-02-22,20,13,7,mo_ban
LKD000129,SP0010,2026-02-26,20,9,11,mo_ban
LKD000130,SP0010,2026-03-02,20,3,17,mo_ban
LKD000131,SP0011,2026-01-05,6,6,0,het_cho
LKD000132,SP0011,2026-01-09,6,4,2,mo_ban
LKD000133,SP0011,2026-01-13,6,6,0,het_cho
LKD000134,SP0011,2026-01-17,6,3,3,mo_ban
LKD000135,SP0011,2026-01-21,6,4,2,mo_ban
LKD000136,SP0011,2026-01-25,6,4,2,mo_ban
LKD000137,SP0011,2026-01-29,6,2,4,mo_ban
LKD000138,SP0011,2026-02-02,6,0,6,mo_ban
LKD000139,SP0011,2026-02-06,6,4,2,mo_ban
LKD000140,SP0011,2026-02-10,6,4,2,mo_ban
LKD000141,SP0011,2026-02-14,6,0,6,mo_ban
LKD000142,SP0011,2026-02-18,6,5,1,mo_ban
LKD000143,SP0011,2026-02-22,6,4,2,mo_ban
LKD000144,SP0011,2026-02-26,6,3,3,mo_ban
LKD000145,SP0011,2026-03-02,6,6,0,het_cho
LKD000146,SP0012,2026-01-05,100,35,65,mo_ban
LKD000147,SP0012,2026-01-10,100,55,45,mo_ban
LKD000148,SP0012,2026-01-15,100,8,92,mo_ban
LKD000149,SP0012,2026-01-20,100,82,18,mo_ban
LKD000150,SP0012,2026-01-25,100,79,21,mo_ban
LKD000151,SP0012,2026-01-30,100,38,62,mo_ban
LKD000152,SP0012,2026-02-04,100,90,10,mo_ban
LKD000153,SP0012,2026-02-09,100,96,4,mo_ban
LKD000154,SP0012,2026-02-14,100,70,30,mo_ban
LKD000155,SP0012,2026-02-19,100,23,77,mo_ban
LKD000156,SP0012,2026-02-24,100,3,97,mo_ban
LKD000157,SP0012,2026-03-01,100,11,89,mo_ban
LKD000158,SP0013,2026-01-05,100,79,21,mo_ban
LKD000159,SP0013,2026-01-10,100,23,77,mo_ban
LKD000160,SP0013,2026-01-15,100,30,70,mo_ban
LKD000161,SP0013,2026-01-20,100,1,99,mo_ban
LKD000162,SP0013,2026-01-25,100,67,33,mo_ban
LKD000163,SP0013,2026-01-30,100,56,44,mo_ban
LKD000164,SP0013,2026-02-04,100,33,67,mo_ban
LKD000165,SP0013,2026-02-09,100,88,12,mo_ban
LKD000166,SP0013,2026-02-14,100,3,97,mo_ban
LKD000167,SP0013,2026-02-19,100,32,68,mo_ban
LKD000168,SP0013,2026-02-24,100,23,77,mo_ban
LKD000169,SP0013,2026-03-01,100,11,89,mo_ban
LKD000170,SP0014,2026-01-05,400,143,257,mo_ban
LKD000171,SP0014,2026-01-09,400,396,4,mo_ban
LKD000172,SP0014,2026-01-13,400,113,287,mo_ban
LKD000173,SP0014,2026-01-17,400,107,293,mo_ban
LKD000174,SP0014,2026-01-21,400,305,95,mo_ban
LKD000175,SP0014,2026-01-25,400,304,96,mo_ban
LKD000176,SP0014,2026-01-29,400,31,369,mo_ban
LKD000177,SP0014,2026-02-02,400,322,78,mo_ban
LKD000178,SP0014,2026-02-06,400,301,99,mo_ban
LKD000179,SP0014,2026-02-10,400,77,323,mo_ban
LKD000180,SP0014,2026-02-14,400,248,152,mo_ban
LKD000181,SP0014,2026-02-18,400,233,167,mo_ban
LKD000182,SP0014,2026-02-22,400,319,81,mo_ban
LKD000183,SP0014,2026-02-26,400,391,9,mo_ban
LKD000184,SP0014,2026-03-02,400,152,248,mo_ban
LKD000185,SP0015,2026-01-05,10,0,10,mo_ban
LKD000186,SP0015,2026-01-09,10,8,2,mo_ban
LKD000187,SP0015,2026-01-13,10,9,1,mo_ban
LKD000188,SP0015,2026-01-17,10,2,8,mo_ban
LKD000189,SP0015,2026-01-21,10,6,4,mo_ban
LKD000190,SP0015,2026-01-25,10,5,5,mo_ban
LKD000191,SP0015,2026-01-29,10,4,6,mo_ban
LKD000192,SP0015,2026-02-02,10,8,2,mo_ban
LKD000193,SP0015,2026-02-06,10,0,10,mo_ban
LKD000194,SP0015,2026-02-10,10,6,4,mo_ban
LKD000195,SP0015,2026-02-14,10,10,0,het_cho
LKD000196,SP0015,2026-02-18,10,5,5,mo_ban
LKD000197,SP0015,2026-02-22,10,0,10,mo_ban
LKD000198,SP0015,2026-02-26,10,3,7,mo_ban
LKD000199,SP0015,2026-03-02,10,1,9,mo_ban
LKD000200,SP0016,2026-01-05,20,1,19,mo_ban
LKD000201,SP0016,2026-01-08,20,18,2,mo_ban
LKD000202,SP0016,2026-01-11,20,13,7,mo_ban
LKD000203,SP0016,2026-01-14,20,0,20,mo_ban
LKD000204,SP0016,2026-01-17,20,6,14,mo_ban
LKD000205,SP0016,2026-01-20,20,2,18,mo_ban
LKD000206,SP0016,2026-01-23,20,6,14,mo_ban
LKD000207,SP0016,2026-01-26,20,5,15,mo_ban
LKD000208,SP0016,2026-01-29,20,15,5,mo_ban
LKD000209,SP0016,2026-02-01,20,18,2,mo_ban
LKD000210,SP0016,2026-02-04,20,9,11,mo_ban
LKD000211,SP0016,2026-02-07,20,10,10,mo_ban
LKD000212,SP0016,2026-02-10,20,17,3,mo_ban
LKD000213,SP0016,2026-02-13,20,13,7,mo_ban
LKD000214,SP0016,2026-02-16,20,14,6,mo_ban
LKD000215,SP0016,2026-02-19,20,1,19,mo_ban
LKD000216,SP0016,2026-02-22,20,15,5,mo_ban
LKD000217,SP0016,2026-02-25,20,13,7,mo_ban
LKD000218,SP0016,2026-02-28,20,17,3,mo_ban
LKD000219,SP0016,2026-03-03,20,17,3,mo_ban
LKD000220,SP0017,2026-01-05,16,11,5,mo_ban
LKD000221,SP0017,2026-01-10,16,14,2,mo_ban
LKD000222,SP0017,2026-01-15,16,2,14,mo_ban
LKD000223,SP0017,2026-01-20,16,14,2,mo_ban
LKD000224,SP0017,2026-01-25,16,5,11,mo_ban
LKD000225,SP0017,2026-01-30,16,7,9,mo_ban
LKD000226,SP0017,2026-02-04,16,4,12,mo_ban
LKD000227,SP0017,2026-02-09,16,1,15,mo_ban
LKD000228,SP0017,2026-02-14,16,5,11,mo_ban
LKD000229,SP0017,2026-02-19,16,6,10,mo_ban
LKD000230,SP0017,2026-02-24,16,8,8,mo_ban
LKD000231,SP0017,2026-03-01,16,6,10,mo_ban
LKD000232,SP0018,2026-01-05,200,81,119,mo_ban
LKD000233,SP0018,2026-01-10,200,109,91,mo_ban
LKD000234,SP0018,2026-01-15,200,56,144,mo_ban
LKD000235,SP0018,2026-01-20,200,169,31,mo_ban
LKD000236,SP0018,2026-01-25,200,97,103,mo_ban
LKD000237,SP0018,2026-01-30,200,116,84,mo_ban
LKD000238,SP0018,2026-02-04,200,189,11,mo_ban
LKD000239,SP0018,2026-02-09,200,15,185,mo_ban
LKD000240,SP0018,2026-02-14,200,177,23,mo_ban
LKD000241,SP0018,2026-02-19,200,191,9,mo_ban
LKD000242,SP0018,2026-02-24,200,176,24,mo_ban
LKD000243,SP0018,2026-03-01,200,143,57,mo_ban
LKD000244,SP0019,2026-01-05,8,2,6,mo_ban
LKD000245,SP0019,2026-01-10,8,6,2,mo_ban
LKD000246,SP0019,2026-01-15,8,2,6,mo_ban
LKD000247,SP0019,2026-01-20,8,4,4,mo_ban
LKD000248,SP0019,2026-01-25,8,8,0,het_cho
LKD000249,SP0019,2026-01-30,8,1,7,mo_ban
LKD000250,SP0019,2026-02-04,8,8,0,het_cho
LKD000251,SP0019,2026-02-09,8,5,3,mo_ban
LKD000252,SP0019,2026-02-14,8,8,0,het_cho
LKD000253,SP0019,2026-02-19,8,3,5,mo_ban
LKD000254,SP0019,2026-02-24,8,0,8,mo_ban
LKD000255,SP0019,2026-03-01,8,8,0,het_cho
LKD000256,SP0020,2026-01-05,10,3,7,mo_ban
LKD000257,SP0020,2026-01-09,10,8,2,mo_ban
LKD000258,SP0020,2026-01-13,10,3,7,mo_ban
LKD000259,SP0020,2026-01-17,10,1,9,mo_ban
LKD000260,SP0020,2026-01-21,10,5,5,mo_ban
LKD000261,SP0020,2026-01-25,10,0,10,mo_ban
LKD000262,SP0020,2026-01-29,10,8,2,mo_ban
LKD000263,SP0020,2026-02-02,10,8,2,mo_ban
LKD000264,SP0020,2026-02-06,10,1,9,mo_ban
LKD000265,SP0020,2026-02-10,10,0,10,mo_ban
LKD000266,SP0020,2026-02-14,10,3,7,mo_ban
LKD000267,SP0020,2026-02-18,10,2,8,mo_ban
LKD000268,SP0020,2026-02-22,10,10,0,het_cho
LKD000269,SP0020,2026-02-26,10,9,1,mo_ban
LKD000270,SP0020,2026-03-02,10,3,7,mo_ban
LKD000271,SP0021,2026-01-05,400,83,317,mo_ban
LKD000272,SP0021,2026-01-08,400,334,66,mo_ban
LKD000273,SP0021,2026-01-11,400,153,247,mo_ban
LKD000274,SP0021,2026-01-14,400,291,109,mo_ban
LKD000275,SP0021,2026-01-17,400,117,283,mo_ban
LKD000276,SP0021,2026-01-20,400,178,222,mo_ban
LKD000277,SP0021,2026-01-23,400,115,285,mo_ban
LKD000278,SP0021,2026-01-26,400,390,10,mo_ban
LKD000279,SP0021,2026-01-29,400,217,183,mo_ban
LKD000280,SP0021,2026-02-01,400,113,287,mo_ban
LKD000281,SP0021,2026-02-04,400,161,239,mo_ban
LKD000282,SP0021,2026-02-07,400,62,338,mo_ban
LKD000283,SP0021,2026-02-10,400,201,199,mo_ban
LKD000284,SP0021,2026-02-13,400,190,210,mo_ban
LKD000285,SP0021,2026-02-16,400,40,360,mo_ban
LKD000286,SP0021,2026-02-19,400,163,237,mo_ban
LKD000287,SP0021,2026-02-22,400,40,360,mo_ban
LKD000288,SP0021,2026-02-25,400,74,326,mo_ban
LKD000289,SP0021,2026-02-28,400,268,132,mo_ban
LKD000290,SP0021,2026-03-03,400,162,238,mo_ban
LKD000291,SP0022,2026-01-05,29,13,16,mo_ban
LKD000292,SP0022,2026-01-08,29,20,9,mo_ban
LKD000293,SP0022,2026-01-11,29,23,6,mo_ban
LKD000294,SP0022,2026-01-14,29,8,21,mo_ban
LKD000295,SP0022,2026-01-17,29,15,14,mo_ban
LKD000296,SP0022,2026-01-20,29,19,10,mo_ban
LKD000297,SP0022,2026-01-23,29,14,15,mo_ban
LKD000298,SP0022,2026-01-26,29,4,25,mo_ban
LKD000299,SP0022,2026-01-29,29,12,17,mo_ban
LKD000300,SP0022,2026-02-01,29,3,26,mo_ban
LKD000301,SP0022,2026-02-04,29,6,23,mo_ban
LKD000302,SP0022,2026-02-07,29,25,4,mo_ban
LKD000303,SP0022,2026-02-10,29,8,21,mo_ban
LKD000304,SP0022,2026-02-13,29,29,0,het_cho
LKD000305,SP0022,2026-02-16,29,14,15,mo_ban
LKD000306,SP0022,2026-02-19,29,14,15,mo_ban
LKD000307,SP0022,2026-02-22,29,11,18,mo_ban
LKD000308,SP0022,2026-02-25,29,9,20,mo_ban
LKD000309,SP0022,2026-02-28,29,18,11,mo_ban
LKD000310,SP0022,2026-03-03,29,15,14,mo_ban
LKD000311,SP0023,2026-01-05,15,8,7,mo_ban
LKD000312,SP0023,2026-01-08,15,11,4,mo_ban
LKD000313,SP0023,2026-01-11,15,9,6,mo_ban
LKD000314,SP0023,2026-01-14,15,6,9,mo_ban
LKD000315,SP0023,2026-01-17,15,1,14,mo_ban
LKD000316,SP0023,2026-01-20,15,0,15,mo_ban
LKD000317,SP0023,2026-01-23,15,14,1,mo_ban
LKD000318,SP0023,2026-01-26,15,11,4,mo_ban
LKD000319,SP0023,2026-01-29,15,15,0,het_cho
LKD000320,SP0023,2026-02-01,15,6,9,mo_ban
LKD000321,SP0023,2026-02-04,15,9,6,mo_ban
LKD000322,SP0023,2026-02-07,15,7,8,mo_ban
LKD000323,SP0023,2026-02-10,15,9,6,mo_ban
LKD000324,SP0023,2026-02-13,15,8,7,mo_ban
LKD000325,SP0023,2026-02-16,15,0,15,mo_ban
LKD000326,SP0023,2026-02-19,15,10,5,mo_ban
LKD000327,SP0023,2026-02-22,15,7,8,mo_ban
LKD000328,SP0023,2026-02-25,15,5,10,mo_ban
LKD000329,SP0023,2026-02-28,15,5,10,mo_ban
LKD000330,SP0023,2026-03-03,15,2,13,mo_ban
LKD000331,SP0024,2026-01-05,10,1,9,mo_ban
LKD000332,SP0024,2026-01-09,10,2,8,mo_ban
LKD000333,SP0024,2026-01-13,10,3,7,mo_ban
LKD000334,SP0024,2026-01-17,10,4,6,mo_ban
LKD000335,SP0024,2026-01-21,10,10,0,het_cho
LKD000336,SP0024,2026-01-25,10,4,6,mo_ban
LKD000337,SP0024,2026-01-29,10,1,9,mo_ban
LKD000338,SP0024,2026-02-02,10,7,3,mo_ban
LKD000339,SP0024,2026-02-06,10,9,1,mo_ban
LKD000340,SP0024,2026-02-10,10,0,10,mo_ban
LKD000341,SP0024,2026-02-14,10,9,1,mo_ban
LKD000342,SP0024,2026-02-18,10,8,2,mo_ban
LKD000343,SP0024,2026-02-22,10,2,8,mo_ban
LKD000344,SP0024,2026-02-26,10,4,6,mo_ban
LKD000345,SP0024,2026-03-02,10,6,4,mo_ban
LKD000346,SP0025,2026-01-05,6,3,3,mo_ban
LKD000347,SP0025,2026-01-08,6,3,3,mo_ban
LKD000348,SP0025,2026-01-11,6,3,3,mo_ban
LKD000349,SP0025,2026-01-14,6,5,1,mo_ban
LKD000350,SP0025,2026-01-17,6,2,4,mo_ban
LKD000351,SP0025,2026-01-20,6,0,6,mo_ban
LKD000352,SP0025,2026-01-23,6,5,1,mo_ban
LKD000353,SP0025,2026-01-26,6,3,3,mo_ban
LKD000354,SP0025,2026-01-29,6,1,5,mo_ban
LKD000355,SP0025,2026-02-01,6,6,0,het_cho
LKD000356,SP0025,2026-02-04,6,5,1,mo_ban
LKD000357,SP0025,2026-02-07,6,1,5,mo_ban
LKD000358,SP0025,2026-02-10,6,3,3,mo_ban
LKD000359,SP0025,2026-02-13,6,5,1,mo_ban
LKD000360,SP0025,2026-02-16,6,2,4,mo_ban
LKD000361,SP0025,2026-02-19,6,2,4,mo_ban
LKD000362,SP0025,2026-02-22,6,4,2,mo_ban
LKD000363,SP0025,2026-02-25,6,3,3,mo_ban
LKD000364,SP0025,2026-02-28,6,1,5,mo_ban
LKD000365,SP0025,2026-03-03,6,0,6,mo_ban
LKD000366,SP0026,2026-01-05,29,14,15,mo_ban
LKD000367,SP0026,2026-01-10,29,2,27,mo_ban
LKD000368,SP0026,2026-01-15,29,17,12,mo_ban
LKD000369,SP0026,2026-01-20,29,20,9,mo_ban
LKD000370,SP0026,2026-01-25,29,22,7,mo_ban
LKD000371,SP0026,2026-01-30,29,19,10,mo_ban
LKD000372,SP0026,2026-02-04,29,18,11,mo_ban
LKD000373,SP0026,2026-02-09,29,2,27,mo_ban
LKD000374,SP0026,2026-02-14,29,8,21,mo_ban
LKD000375,SP0026,2026-02-19,29,19,10,mo_ban
LKD000376,SP0026,2026-02-24,29,10,19,mo_ban
LKD000377,SP0026,2026-03-01,29,7,22,mo_ban
LKD000378,SP0027,2026-01-05,200,167,33,mo_ban
LKD000379,SP0027,2026-01-10,200,191,9,mo_ban
LKD000380,SP0027,2026-01-15,200,131,69,mo_ban
LKD000381,SP0027,2026-01-20,200,49,151,mo_ban
LKD000382,SP0027,2026-01-25,200,184,16,mo_ban
LKD000383,SP0027,2026-01-30,200,147,53,mo_ban
LKD000384,SP0027,2026-02-04,200,121,79,mo_ban
LKD000385,SP0027,2026-02-09,200,151,49,mo_ban
LKD000386,SP0027,2026-02-14,200,45,155,mo_ban
LKD000387,SP0027,2026-02-19,200,161,39,mo_ban
LKD000388,SP0027,2026-02-24,200,144,56,mo_ban
LKD000389,SP0027,2026-03-01,200,31,169,mo_ban
LKD000390,SP0028,2026-01-05,200,62,138,mo_ban
LKD000391,SP0028,2026-01-10,200,74,126,mo_ban
LKD000392,SP0028,2026-01-15,200,21,179,mo_ban
LKD000393,SP0028,2026-01-20,200,62,138,mo_ban
LKD000394,SP0028,2026-01-25,200,55,145,mo_ban
LKD000395,SP0028,2026-01-30,200,198,2,mo_ban
LKD000396,SP0028,2026-02-04,200,147,53,mo_ban
LKD000397,SP0028,2026-02-09,200,188,12,mo_ban
LKD000398,SP0028,2026-02-14,200,116,84,mo_ban
LKD000399,SP0028,2026-02-19,200,174,26,mo_ban
LKD000400,SP0028,2026-02-24,200,164,36,mo_ban
LKD000401,SP0028,2026-03-01,200,116,84,mo_ban
LKD000402,SP0029,2026-01-05,20,8,12,mo_ban
LKD000403,SP0029,2026-01-10,20,0,20,mo_ban
LKD000404,SP0029,2026-01-15,20,19,1,mo_ban
LKD000405,SP0029,2026-01-20,20,10,10,mo_ban
LKD000406,SP0029,2026-01-25,20,15,5,mo_ban
LKD000407,SP0029,2026-01-30,20,11,9,mo_ban
LKD000408,SP0029,2026-02-04,20,1,19,mo_ban
LKD000409,SP0029,2026-02-09,20,18,2,mo_ban
LKD000410,SP0029,2026-02-14,20,8,12,mo_ban
LKD000411,SP0029,2026-02-19,20,3,17,mo_ban
LKD000412,SP0029,2026-02-24,20,15,5,mo_ban
LKD000413,SP0029,2026-03-01,20,20,0,het_cho
LKD000414,SP0030,2026-01-05,2,1,1,mo_ban
LKD000415,SP0030,2026-01-10,2,1,1,mo_ban
LKD000416,SP0030,2026-01-15,2,2,0,het_cho
LKD000417,SP0030,2026-01-20,2,2,0,het_cho
LKD000418,SP0030,2026-01-25,2,0,2,mo_ban
LKD000419,SP0030,2026-01-30,2,2,0,het_cho
LKD000420,SP0030,2026-02-04,2,0,2,mo_ban
LKD000421,SP0030,2026-02-09,2,0,2,mo_ban
LKD000422,SP0030,2026-02-14,2,1,1,mo_ban
LKD000423,SP0030,2026-02-19,2,1,1,mo_ban
LKD000424,SP0030,2026-02-24,2,1,1,mo_ban
LKD000425,SP0030,2026-03-01,2,0,2,mo_ban
LKD000426,SP0031,2026-01-05,100,28,72,mo_ban
LKD000427,SP0031,2026-01-09,100,15,85,mo_ban
LKD000428,SP0031,2026-01-13,100,74,26,mo_ban
LKD000429,SP0031,2026-01-17,100,61,39,mo_ban
LKD000430,SP0031,2026-01-21,100,13,87,mo_ban
LKD000431,SP0031,2026-01-25,100,0,100,mo_ban
LKD000432,SP0031,2026-01-29,100,30,70,mo_ban
LKD000433,SP0031,2026-02-02,100,58,42,mo_ban
LKD000434,SP0031,2026-02-06,100,48,52,mo_ban
LKD000435,SP0031,2026-02-10,100,66,34,mo_ban
LKD000436,SP0031,2026-02-14,100,39,61,mo_ban
LKD000437,SP0031,2026-02-18,100,13,87,mo_ban
LKD000438,SP0031,2026-02-22,100,8,92,mo_ban
LKD000439,SP0031,2026-02-26,100,72,28,mo_ban
LKD000440,SP0031,2026-03-02,100,89,11,mo_ban
LKD000441,SP0032,2026-01-05,16,3,13,mo_ban
LKD000442,SP0032,2026-01-09,16,1,15,mo_ban
LKD000443,SP0032,2026-01-13,16,10,6,mo_ban
LKD000444,SP0032,2026-01-17,16,12,4,mo_ban
LKD000445,SP0032,2026-01-21,16,10,6,mo_ban
LKD000446,SP0032,2026-01-25,16,15,1,mo_ban
LKD000447,SP0032,2026-01-29,16,15,1,mo_ban
LKD000448,SP0032,2026-02-02,16,2,14,mo_ban
LKD000449,SP0032,2026-02-06,16,2,14,mo_ban
LKD000450,SP0032,2026-02-10,16,7,9,mo_ban
LKD000451,SP0032,2026-02-14,16,2,14,mo_ban
LKD000452,SP0032,2026-02-18,16,8,8,mo_ban
LKD000453,SP0032,2026-02-22,16,1,15,mo_ban
LKD000454,SP0032,2026-02-26,16,13,3,mo_ban
LKD000455,SP0032,2026-03-02,16,6,10,mo_ban
LKD000456,SP0033,2026-01-05,16,14,2,mo_ban
LKD000457,SP0033,2026-01-10,16,10,6,mo_ban
LKD000458,SP0033,2026-01-15,16,9,7,mo_ban
LKD000459,SP0033,2026-01-20,16,8,8,mo_ban
LKD000460,SP0033,2026-01-25,16,15,1,mo_ban
LKD000461,SP0033,2026-01-30,16,2,14,mo_ban
LKD000462,SP0033,2026-02-04,16,14,2,mo_ban
LKD000463,SP0033,2026-02-09,16,3,13,mo_ban
LKD000464,SP0033,2026-02-14,16,10,6,mo_ban
