ma_nhat_ky,thoi_diem,ma_nguoi_dung,vai_tro,hanh_dong,doi_tuong,muc,dia_chi_ip_mo_phong
NK00021,2025-10-15T03:54:00,ND0069,khach_hang,sua_gia,danh_gia,info,10.74.72.144
NK00022,2025-10-21T19:43:00,ND0051,khach_hang,dang_xuat,danh_gia,info,10.239.22.86
NK00023,2025-10-09T06:19:00,ND0087,khach_hang,tai_tep,danh_gia,info,10.197.87.26
NK00024,2025-12-29T10:30:00,ND0079,khach_hang,huy_don,danh_gia,info,10.135.89.220
NK00025,2025-11-29T09:19:00,ND0106,khach_hang,sua_gia,san_pham,info,10.43.141.55
NK00026,2025-12-29T14:38:00,ND0110,khach_hang,dang_nhap,san_pham,info,10.113.96.34
NK00027,2025-10-24T20:04:00,ND0064,khach_hang,huy_don,san_pham,info,10.74.247.10
NK00028,2025-11-05T00:08:00,ND0055,khach_hang,doi_mat_khau,nguoi_dung,info,10.54.81.110
NK00029,2025-11-01T18:22:00,ND0085,khach_hang,doi_mat_khau,danh_gia,info,10.89.46.33
NK00030,2025-11-17T13:57:00,ND0006,nha_cung_cap,sua_gia,san_pham,info,10.201.114.56
NK00031,2025-11-27T14:09:00,ND0074,khach_hang,duyet_danh_gia,danh_gia,info,10.168.210.233
NK00032,2025-12-07T15:10:00,ND0095,khach_hang,sua_gia,san_pham,info,10.121.76.106
NK00033,2025-11-23T06:54:00,ND0080,khach_hang,duyet_danh_gia,don_dat,info,10.198.207.34
NK00034,2025-11-16T20:37:00,ND0037,khach_hang,dang_nhap,don_dat,info,10.148.231.198
NK00035,2025-10-09T15:49:00,ND0068,khach_hang,duyet_danh_gia,don_dat,info,10.72.95.92
NK00036,2025-11-20T00:57:00,ND0065,khach_hang,doi_mat_khau,nguoi_dung,info,10.169.38.69
NK00037,2025-11-20T16:11:00,ND0045,khach_hang,tai_tep,danh_gia,info,10.172.159.137
NK00038,2025-11-22T01:57:00,ND0087,khach_hang,doi_mat_khau,danh_gia,info,10.67.18.121
NK00039,2025-11-03T03:38:00,ND0077,khach_hang,dang_xuat,don_dat,info,10.182.17.96
NK00040,2025-10-13T05:57:00,ND0084,khach_hang,dang_xuat,don_dat,info,10.184.155.83
NK00041,2025-10-12T03:51:00,ND0008,nha_cung_cap,tu_choi_truy_cap,san_pham,warning,10.124.144.75
NK00042,2025-11-10T20:24:00,ND0095,khach_hang,doi_mat_khau,nguoi_dung,info,10.235.219.142
NK00043,2025-12-17T08:17:00,ND0035,kiem_thu,sua_gia,san_pham,info,10.155.180.57
NK00044,2025-10-20T06:07:00,ND0067,khach_hang,tai_tep,nguoi_dung,info,10.71.4.177
NK00045,2025-11-01T09:56:00,ND0101,khach_hang,sua_gia,nguoi_dung,info,10.47.103.97
NK00046,2025-11-16T18:49:00,ND0028,huong_dan_vien,tao_don,nguoi_dung,info,10.96.160.44
NK00047,2025-10-15T01:56:00,ND0078,khach_hang,dang_xuat,don_dat,info,10.116.138.134
NK00048,2025-12-25T00:03:00,ND0007,nha_cung_cap,sua_gia,san_pham,info,10.152.129.87
NK00049,2025-10-19T00:25:00,ND0055,khach_hang,tai_tep,san_pham,info,10.135.186.66
NK00050,2025-10-25T01:27:00,ND0010,nha_cung_cap,duyet_danh_gia,san_pham,info,10.244.208.69
NK00051,2025-12-17T20:44:00,ND0008,nha_cung_cap,dang_xuat,nguoi_dung,info,10.120.120.170
NK00052,2025-12-12T18:50:00,ND0058,khach_hang,huy_don,danh_gia,info,10.93.164.113
NK00053,2025-10-21T08:43:00,ND0104,khach_hang,tu_choi_truy_cap,nguoi_dung,warning,10.52.38.186
NK00054,2025-11-29T11:52:00,ND0063,khach_hang,doi_mat_khau,danh_gia,info,10.112.117.33
NK00055,2025-11-17T11:20:00,ND0041,khach_hang,doi_mat_khau,san_pham,info,10.1.175.41
NK00056,2025-10-10T07:27:00,ND0075,khach_hang,duyet_danh_gia,nguoi_dung,info,10.92.205.95
NK00057,2025-10-31T11:26:00,ND0087,khach_hang,dang_xuat,don_dat,info,10.31.170.82
NK00058,2025-12-13T08:27:00,ND0037,khach_hang,tai_tep,danh_gia,info,10.115.254.4
NK00059,2025-10-21T10:22:00,ND0076,khach_hang,doi_mat_khau,don_dat,info,10.82.57.118
NK00060,2025-10-22T14:41:00,ND0001,quan_tri,dang_xuat,danh_gia,info,10.24.42.39
NK00061,2025-11-06T19:29:00,ND0095,khach_hang,huy_don,don_dat,info,10.39.165.181
NK00062,2025-12-29T17:02:00,ND0067,khach_hang,tai_tep,danh_gia,info,10.40.56.75
NK00063,2025-10-19T22:12:00,ND0012,nha_cung_cap,duyet_danh_gia,nguoi_dung,info,10.37.185.224
NK00064,2025-12-03T07:51:00,ND0100,khach_hang,tao_don,nguoi_dung,info,10.107.183.158
NK00065,2025-10-27T21:17:00,ND0092,khach_hang,tu_choi_truy_cap,danh_gia,warning,10.130.90.111
NK00066,2025-11-01T00:06:00,ND0063,khach_hang,tai_tep,san_pham,info,10.148.164.189
NK00067,2025-12-19T13:56:00,ND0086,khach_hang,dang_nhap,nguoi_dung,info,10.183.169.250
NK00068,2025-10-11T16:59:00,ND0045,khach_hang,duyet_danh_gia,danh_gia,info,10.155.119.9
NK00069,2026-01-01T16:36:00,ND0083,khach_hang,sua_gia,san_pham,info,10.138.10.245
NK00070,2025-10-17T15:29:00,ND0087,khach_hang,tai_tep,danh_gia,info,10.122.69.41
NK00071,2025-11-06T15:09:00,ND0066,khach_hang,tu_choi_truy_cap,don_dat,warning,10.110.228.91
NK00072,2025-12-06T08:14:00,ND0010,nha_cung_cap,duyet_danh_gia,danh_gia,info,10.222.185.100
NK00073,2025-11-20T12:59:00,ND0106,khach_hang,tu_choi_truy_cap,nguoi_dung,warning,10.172.84.234
NK00074,2025-10-11T22:35:00,ND0028,huong_dan_vien,sua_gia,nguoi_dung,info,10.252.201.47
NK00075,2025-11-13T21:17:00,ND0036,khach_hang,tai_tep,nguoi_dung,info,10.47.219.45
NK00076,2026-01-04T06:18:00,ND0109,khach_hang,tai_tep,danh_gia,info,10.84.223.225
NK00077,2025-11-01T07:16:00,ND0089,khach_hang,dang_xuat,nguoi_dung,info,10.104.27.36
NK00078,2025-10-10T02:05:00,ND0077,khach_hang,tu_choi_truy_cap,don_dat,warning,10.244.147.215
NK00079,2025-12-21T05:58:00,ND0094,khach_hang,doi_mat_khau,danh_gia,info,10.133.188.197
NK00080,2025-12-07T08:45:00,ND0104,khach_hang,huy_don,nguoi_dung,info,10.72.159.46
NK00081,2025-10-24T00:37:00,ND0075,khach_hang,duyet_danh_gia,san_pham,info,10.225.147.242
NK00082,2025-11-18T18:13:00,ND0048,khach_hang,tu_choi_truy_cap,san_pham,warning,10.69.227.226
NK00083,2025-10-21T03:17:00,ND0041,khach_hang,tu_choi_truy_cap,danh_gia,warning,10.70.213.48
NK00084,2025-10-20T14:52:00,ND0092,khach_hang,dang_nhap,san_pham,info,10.13.110.79
NK00085,2025-10-11T20:31:00,ND0026,huong_dan_vien,tai_tep,don_dat,info,10.109.2.202
NK00086,2025-10-17T05:47:00,ND0015,nha_cung_cap,tu_choi_truy_cap,danh_gia,warning,10.90.179.153
NK00087,2025-12-10T17:34:00,ND0033,kiem_thu,duyet_danh_gia,don_dat,info,10.138.152.98
NK00088,2025-12-31T14:40:00,ND0088,khach_hang,huy_don,danh_gia,info,10.56.178.210
NK00089,2025-10-28T04:01:00,ND0029,huong_dan_vien,doi_mat_khau,san_pham,info,10.15.106.87
NK00090,2025-11-25T08:40:00,ND0080,khach_hang,duyet_danh_gia,don_dat,info,10.199.219.223
NK00091,2025-10-15T18:44:00,ND0106,khach_hang,doi_mat_khau,san_pham,info,10.201.176.171
NK00092,2025-11-21T01:21:00,ND0005,nha_cung_cap,duyet_danh_gia,san_pham,info,10.250.32.166
NK00093,2025-11-19T21:02:00,ND0008,nha_cung_cap,tu_choi_truy_cap,danh_gia,warning,10.38.58.91
NK00094,2025-12-15T21:48:00,ND0025,huong_dan_vien,sua_gia,nguoi_dung,info,10.22.231.33
NK00095,2025-11-26T03:49:00,ND0032,kiem_thu,doi_mat_khau,nguoi_dung,info,10.247.112.71
NK00096,2025-12-19T11:32:00,ND0075,khach_hang,dang_nhap,san_pham,info,10.59.174.120
NK00097,2025-10-26T14:13:00,ND0087,khach_hang,dang_xuat,don_dat,info,10.47.68.147
NK00098,2025-12-28T21:10:00,ND0083,khach_hang,tao_don,danh_gia,info,10.115.75.144
NK00099,2025-12-01T05:52:00,ND0043,khach_hang,duyet_danh_gia,don_dat,info,10.6.168.96
NK00100,2025-10-27T00:12:00,ND0081,khach_hang,huy_don,san_pham,info,10.5.103.191
NK00101,2025-12-03T01:39:00,ND0068,khach_hang,doi_mat_khau,danh_gia,info,10.219.17.206
NK00102,2025-12-16T12:52:00,ND0057,khach_hang,tai_tep,danh_gia,info,10.70.186.105
NK00103,2025-11-30T09:33:00,ND0058,khach_hang,tu_choi_truy_cap,danh_gia,warning,10.181.166.205
NK00104,2025-12-04T08:47:00,ND0059,khach_hang,sua_gia,nguoi_dung,info,10.183.201.102
NK00105,2025-11-28T21:00:00,ND0100,khach_hang,sua_gia,don_dat,info,10.128.2.129
NK00106,2025-11-23T03:31:00,ND0063,khach_hang,dang_xuat,san_pham,info,10.70.216.192
NK00107,2025-11-24T05:25:00,ND0076,khach_hang,tu_choi_truy_cap,nguoi_dung,warning,10.195.213.250
NK00108,2025-11-29T15:31:00,ND0109,khach_hang,duyet_danh_gia,nguoi_dung,info,10.124.245.237
NK00109,2025-11-01T18:46:00,ND0058,khach_hang,huy_don,danh_gia,info,10.196.75.44
NK00110,2025-10-08T08:32:00,ND0100,khach_hang,dang_nhap,san_pham,info,10.74.246.52
NK00111,2025-12-12T04:33:00,ND0065,khach_hang,doi_mat_khau,nguoi_dung,info,10.75.25.29
NK00112,2025-12-20T09:16:00,ND0100,khach_hang,tu_choi_truy_cap,san_pham,warning,10.162.227.107
NK00113,2025-12-26T17:18:00,ND0039,khach_hang,huy_don,nguoi_dung,info,10.1.0.15
NK00114,2025-11-06T17:12:00,ND0095,khach_hang,dang_xuat,danh_gia,info,10.60.64.177
NK00115,2025-12-18T17:17:00,ND0089,khach_hang,dang_xuat,danh_gia,info,10.31.83.254
NK00116,2025-11-01T20:33:00,ND0009,nha_cung_cap,duyet_danh_gia,danh_gia,info,10.86.214.147
NK00117,2025-10-25T23:14:00,ND0033,kiem_thu,sua_gia,don_dat,info,10.17.233.68
NK00118,2025-11-03T21:59:00,ND0098,khach_hang,duyet_danh_gia,san_pham,info,10.183.194.93
NK00119,2025-12-24T22:01:00,ND0081,khach_hang,tao_don,nguoi_dung,info,10.233.213.112
NK00120,2025-12-03T14:28:00,ND0068,khach_hang,tai_tep,san_pham,info,10.60.221.182
NK00121,2026-01-02T08:57:00,ND0047,khach_hang,dang_nhap,danh_gia,info,10.30.28.86
NK00122,2025-11-14T21:42:00,ND0001,quan_tri,dang_nhap,nguoi_dung,info,10.163.92.107
NK00123,2025-12-16T21:36:00,ND0032,kiem_thu,tu_choi_truy_cap,don_dat,warning,10.115.196.58
NK00124,2025-12-06T05:09:00,ND0099,khach_hang,tai_tep,san_pham,info,10.1.214.177
NK00125,2025-12-04T07:05:00,ND0068,khach_hang,duyet_danh_gia,danh_gia,info,10.72.153.77
NK00126,2025-12-03T20:55:00,ND0048,khach_hang,tao_don,don_dat,info,10.154.250.155
NK00127,2025-11-05T02:48:00,ND0093,khach_hang,sua_gia,danh_gia,info,10.66.228.73
NK00128,2025-10-10T01:53:00,ND0035,kiem_thu,dang_nhap,don_dat,info,10.95.214.99
NK00129,2025-12-27T08:42:00,ND0089,khach_hang,dang_xuat,nguoi_dung,info,10.37.254.49
NK00130,2025-11-28T21:37:00,ND0100,khach_hang,dang_nhap,nguoi_dung,info,10.129.65.222
NK00131,2025-11-21T13:34:00,ND0099,khach_hang,doi_mat_khau,danh_gia,info,10.86.51.221
NK00132,2025-12-12T03:22:00,ND0075,khach_hang,sua_gia,don_dat,info,10.27.99.112
NK00133,2025-10-07T19:51:00,ND0083,khach_hang,sua_gia,san_pham,info,10.131.204.142
NK00134,2026-01-01T12:36:00,ND0041,khach_hang,duyet_danh_gia,san_pham,info,10.212.153.213
NK00135,2025-10-24T10:51:00,ND0016,nha_cung_cap,tao_don,danh_gia,info,10.172.160.99
NK00136,2025-12-23T00:35:00,ND0004,nha_cung_cap,duyet_danh_gia,don_dat,info,10.70.4.176
NK00137,2025-10-14T21:24:00,ND0042,khach_hang,duyet_danh_gia,san_pham,info,10.155.75.229
NK00138,2025-10-14T21:49:00,ND0010,nha_cung_cap,tao_don,don_dat,info,10.80.55.208
NK00139,2025-10-25T12:43:00,ND0082,khach_hang,dang_nhap,nguoi_dung,info,10.133.239.229
NK00140,2025-12-03T13:46:00,ND0081,khach_hang,huy_don,don_dat,info,10.36.239.170
NK00141,2025-12-23T00:04:00,ND0050,khach_hang,huy_don,nguoi_dung,info,10.9.68.41
NK00142,2025-12-27T07:38:00,ND0012,nha_cung_cap,tu_choi_truy_cap,don_dat,warning,10.18.26.192
NK00143,2025-12-03T23:12:00,ND0033,kiem_thu,tao_don,danh_gia,info,10.125.30.98
NK00144,2025-11-27T01:10:00,ND0040,khach_hang,tao_don,nguoi_dung,info,10.204.146.140
NK00145,2025-11-11T07:20:00,ND0041,khach_hang,duyet_danh_gia,danh_gia,info,10.89.172.223
NK00146,2025-11-20T08:21:00,ND0085,khach_hang,dang_xuat,nguoi_dung,info,10.190.233.215
NK00147,2025-11-06T12:45:00,ND0039,khach_hang,huy_don,don_dat,info,10.103.210.134
NK00148,2025-10-25T00:11:00,ND0036,khach_hang,doi_mat_khau,don_dat,info,10.93.187.213
NK00149,2025-11-11T09:18:00,ND0088,khach_hang,tu_choi_truy_cap,danh_gia,warning,10.147.160.233
NK00150,2025-12-21T05:04:00,ND0035,kiem_thu,huy_don,san_pham,info,10.196.144.11
NK00151,2025-10-26T14:33:00,ND0103,khach_hang,duyet_danh_gia,san_pham,info,10.65.20.107
NK00152,2025-12-12T17:31:00,ND0071,khach_hang,duyet_danh_gia,san_pham,info,10.184.233.192
NK00153,2025-11-24T15:32:00,ND0051,khach_hang,tao_don,don_dat,info,10.100.83.36
NK00154,2025-12-28T04:41:00,ND0015,nha_cung_cap,dang_xuat,don_dat,info,10.63.216.223
NK00155,2025-12-12T12:23:00,ND0110,khach_hang,tu_choi_truy_cap,nguoi_dung,warning,10.214.149.10
NK00156,2025-11-15T09:35:00,ND0105,khach_hang,duyet_danh_gia,don_dat,info,10.96.227.96
NK00157,2025-12-16T10:17:00,ND0018,nha_cung_cap,tai_tep,nguoi_dung,info,10.189.231.121
NK00158,2026-01-01T05:34:00,ND0066,khach_hang,duyet_danh_gia,san_pham,info,10.173.88.186
NK00159,2025-10-08T00:56:00,ND0042,khach_hang,tai_tep,san_pham,info,10.5.236.199
NK00160,2025-11-01T03:49:00,ND0104,khach_hang,dang_nhap,nguoi_dung,info,10.92.29.114
NK00161,2025-10-26T09:12:00,ND0086,khach_hang,tu_choi_truy_cap,don_dat,warning,10.164.42.134
NK00162,2025-11-28T13:54:00,ND0006,nha_cung_cap,doi_mat_khau,danh_gia,info,10.133.34.94
NK00163,2025-10-07T16:45:00,ND0001,quan_tri,doi_mat_khau,nguoi_dung,info,10.237.30.115
NK00164,2025-11-15T06:11:00,ND0100,khach_hang,huy_don,nguoi_dung,info,10.102.219.180
NK00165,2026-01-02T03:49:00,ND0110,khach_hang,sua_gia,danh_gia,info,10.144.236.230
NK00166,2025-10-18T02:43:00,ND0103,khach_hang,tao_don,san_pham,info,10.141.27.154
NK00167,2025-12-21T18:33:00,ND0106,khach_hang,tao_don,danh_gia,info,10.201.111.13
NK00168,2025-10-25T05:58:00,ND0032,kiem_thu,tai_tep,san_pham,info,10.141.185.233
NK00169,2025-10-20T06:27:00,ND0104,khach_hang,dang_nhap,danh_gia,info,10.32.132.145
NK00170,2025-11-12T20:46:00,ND0008,nha_cung_cap,dang_xuat,san_pham,info,10.101.178.139
NK00171,2025-12-21T04:56:00,ND0031,kiem_thu,huy_don,danh_gia,info,10.141.35.145
NK00172,2025-12-13T02:58:00,ND0057,khach_hang,huy_don,san_pham,info,10.109.171.199
NK00173,2025-11-14T14:34:00,ND0086,khach_hang,tu_choi_truy_cap,san_pham,warning,10.166.51.134
NK00174,2025-11-19T00:16:00,ND0035,kiem_thu,tu_choi_truy_cap,don_dat,warning,10.47.158.158
NK00175,2025-12-02T23:49:00,ND0030,huong_dan_vien,huy_don,nguoi_dung,info,10.90.45.96
NK00176,2025-10-13T06:27:00,ND0003,nha_cung_cap,dang_nhap,san_pham,info,10.157.90.81
NK00177,2025-11-06T08:46:00,ND0028,huong_dan_vien,doi_mat_khau,don_dat,info,10.100.246.12
NK00178,2025-12-18T17:47:00,ND0050,khach_hang,tai_tep,danh_gia,info,10.9.249.18
NK00179,2025-10-16T18:56:00,ND0036,khach_hang,dang_xuat,nguoi_dung,info,10.193.33.211
NK00180,2025-11-07T19:06:00,ND0106,khach_hang,dang_nhap,san_pham,info,10.99.171.29
NK00181,2025-12-08T01:50:00,ND0095,khach_hang,dang_nhap,don_dat,info,10.2.15.230
NK00182,2025-12-25T12:50:00,ND0025,huong_dan_vien,doi_mat_khau,nguoi_dung,info,10.25.109.180
NK00183,2025-12-19T22:17:00,ND0079,khach_hang,dang_nhap,danh_gia,info,10.210.31.131
NK00184,2025-11-16T05:59:00,ND0081,khach_hang,dang_xuat,don_dat,info,10.102.115.123
NK00185,2025-12-15T16:51:00,ND0024,huong_dan_vien,dang_xuat,nguoi_dung,info,10.122.244.193
NK00186,2025-10-26T22:26:00,ND0011,nha_cung_cap,tao_don,danh_gia,info,10.35.197.218
NK00187,2025-11-12T06:22:00,ND0019,nha_cung_cap,tao_don,san_pham,info,10.183.193.103
NK00188,2025-11-15T07:15:00,ND0084,khach_hang,dang_xuat,san_pham,info,10.175.101.176
NK00189,2025-12-12T13:19:00,ND0004,nha_cung_cap,duyet_danh_gia,danh_gia,info,10.149.75.23
NK00190,2025-12-08T01:48:00,ND0064,khach_hang,huy_don,don_dat,info,10.55.129.52
NK00191,2025-12-26T23:50:00,ND0058,khach_hang,huy_don,nguoi_dung,info,10.223.84.129
NK00192,2026-01-03T17:45:00,ND0104,khach_hang,doi_mat_khau,san_pham,info,10.129.185.109
NK00193,2025-12-16T04:50:00,ND0009,nha_cung_cap,dang_nhap,san_pham,info,10.66.28.242
NK00194,2025-12-26T23:52:00,ND0007,nha_cung_cap,dang_nhap,san_pham,info,10.51.240.209
NK00195,2025-12-19T09:42:00,ND0074,khach_hang,dang_xuat,nguoi_dung,info,10.27.232.170
NK00196,2025-10-21T15:05:00,ND0071,khach_hang,huy_don,nguoi_dung,info,10.102.130.146
NK00197,2025-11-12T10:49:00,ND0040,khach_hang,tao_don,danh_gia,info,10.5.36.51
NK00198,2025-12-28T03:00:00,ND0021,nha_cung_cap,dang_xuat,nguoi_dung,info,10.46.34.15
NK00199,2025-11-03T17:00:00,ND0074,khach_hang,doi_mat_khau,nguoi_dung,info,10.228.222.189
NK00200,2025-11-22T04:42:00,ND0089,khach_hang,duyet_danh_gia,san_pham,info,10.210.218.219
