ma_gia_mua,ma_san_pham,mua,he_so_gia,gia_ap_dung
GM00092,SP0023,Đông (T10–T12),0.85,722000
GM00093,SP0024,Xuân (T1–T3),1.15,207000
GM00094,SP0024,Hè (T4–T6),1.35,243000
GM00095,SP0024,Thu (T7–T9),1.0,180000
GM00096,SP0024,Đông (T10–T12),0.85,153000
GM00097,SP0025,Xuân (T1–T3),1.15,1127000
GM00098,SP0025,Hè (T4–T6),1.35,1323000
GM00099,SP0025,Thu (T7–T9),1.0,980000
GM00100,SP0025,Đông (T10–T12),0.85,833000
GM00101,SP0026,Xuân (T1–T3),1.15,138000
GM00102,SP0026,Hè (T4–T6),1.35,162000
GM00103,SP0026,Thu (T7–T9),1.0,120000
GM00104,SP0026,Đông (T10–T12),0.85,102000
GM00105,SP0027,Xuân (T1–T3),1.15,172000
GM00106,SP0027,Hè (T4–T6),1.35,202000
GM00107,SP0027,Thu (T7–T9),1.0,150000
GM00108,SP0027,Đông (T10–T12),0.85,128000
GM00109,SP0028,Xuân (T1–T3),1.15,103000
GM00110,SP0028,Hè (T4–T6),1.35,122000
GM00111,SP0028,Thu (T7–T9),1.0,90000
GM00112,SP0028,Đông (T10–T12),0.85,76000
GM00113,SP0029,Xuân (T1–T3),1.15,7475000
GM00114,SP0029,Hè (T4–T6),1.35,8775000
GM00115,SP0029,Thu (T7–T9),1.0,6500000
GM00116,SP0029,Đông (T10–T12),0.85,5525000
GM00117,SP0030,Xuân (T1–T3),1.15,1667000
GM00118,SP0030,Hè (T4–T6),1.35,1958000
GM00119,SP0030,Thu (T7–T9),1.0,1450000
GM00120,SP0030,Đông (T10–T12),0.85,1232000
GM00121,SP0031,Xuân (T1–T3),1.15,57000
GM00122,SP0031,Hè (T4–T6),1.35,68000
GM00123,SP0031,Thu (T7–T9),1.0,50000
GM00124,SP0031,Đông (T10–T12),0.85,42000
GM00125,SP0032,Xuân (T1–T3),1.15,2818000
GM00126,SP0032,Hè (T4–T6),1.35,3308000
GM00127,SP0032,Thu (T7–T9),1.0,2450000
GM00128,SP0032,Đông (T10–T12),0.85,2082000
GM00129,SP0033,Xuân (T1–T3),1.15,299000
GM00130,SP0033,Hè (T4–T6),1.35,351000
GM00131,SP0033,Thu (T7–T9),1.0,260000
GM00132,SP0033,Đông (T10–T12),0.85,221000
GM00133,SP0034,Xuân (T1–T3),1.15,402000
GM00134,SP0034,Hè (T4–T6),1.35,473000
GM00135,SP0034,Thu (T7–T9),1.0,350000
GM00136,SP0034,Đông (T10–T12),0.85,298000
GM00137,SP0035,Xuân (T1–T3),1.15,299000
GM00138,SP0035,Hè (T4–T6),1.35,351000
GM00139,SP0035,Thu (T7–T9),1.0,260000
GM00140,SP0035,Đông (T10–T12),0.85,221000
GM00141,SP0036,Xuân (T1–T3),1.15,3680000
GM00142,SP0036,Hè (T4–T6),1.35,4320000
GM00143,SP0036,Thu (T7–T9),1.0,3200000
GM00144,SP0036,Đông (T10–T12),0.85,2720000
GM00145,SP0037,Xuân (T1–T3),1.15,598000
GM00146,SP0037,Hè (T4–T6),1.35,702000
GM00147,SP0037,Thu (T7–T9),1.0,520000
GM00148,SP0037,Đông (T10–T12),0.85,442000
GM00149,SP0038,Xuân (T1–T3),1.15,977000
GM00150,SP0038,Hè (T4–T6),1.35,1148000
GM00151,SP0038,Thu (T7–T9),1.0,850000
GM00152,SP0038,Đông (T10–T12),0.85,722000
GM00153,SP0039,Xuân (T1–T3),1.15,402000
GM00154,SP0039,Hè (T4–T6),1.35,473000
GM00155,SP0039,Thu (T7–T9),1.0,350000
GM00156,SP0039,Đông (T10–T12),0.85,298000
GM00157,SP0040,Xuân (T1–T3),1.15,172000
GM00158,SP0040,Hè (T4–T6),1.35,202000
GM00159,SP0040,Thu (T7–T9),1.0,150000
GM00160,SP0040,Đông (T10–T12),0.85,128000
GM00161,SP0041,Xuân (T1–T3),1.15,207000
GM00162,SP0041,Hè (T4–T6),1.35,243000
GM00163,SP0041,Thu (T7–T9),1.0,180000
GM00164,SP0041,Đông (T10–T12),0.85,153000
GM00165,SP0042,Xuân (T1–T3),1.15,977000
GM00166,SP0042,Hè (T4–T6),1.35,1148000
GM00167,SP0042,Thu (T7–T9),1.0,850000
GM00168,SP0042,Đông (T10–T12),0.85,722000
GM00169,SP0043,Xuân (T1–T3),1.15,1127000
GM00170,SP0043,Hè (T4–T6),1.35,1323000
GM00171,SP0043,Thu (T7–T9),1.0,980000
GM00172,SP0043,Đông (T10–T12),0.85,833000
GM00173,SP0044,Xuân (T1–T3),1.15,793000
GM00174,SP0044,Hè (T4–T6),1.35,932000
GM00175,SP0044,Thu (T7–T9),1.0,690000
GM00176,SP0044,Đông (T10–T12),0.85,586000
GM00177,SP0045,Xuân (T1–T3),1.15,1667000
GM00178,SP0045,Hè (T4–T6),1.35,1958000
GM00179,SP0045,Thu (T7–T9),1.0,1450000
GM00180,SP0045,Đông (T10–T12),0.85,1232000
GM00181,SP0046,Xuân (T1–T3),1.15,57000
GM00182,SP0046,Hè (T4–T6),1.35,68000
GM00183,SP0046,Thu (T7–T9),1.0,50000
GM00184,SP0046,Đông (T10–T12),0.85,42000
GM00185,SP0047,Xuân (T1–T3),1.15,207000
GM00186,SP0047,Hè (T4–T6),1.35,243000
GM00187,SP0047,Thu (T7–T9),1.0,180000
GM00188,SP0047,Đông (T10–T12),0.85,153000
GM00189,SP0048,Xuân (T1–T3),1.15,2530000
GM00190,SP0048,Hè (T4–T6),1.35,2970000
GM00191,SP0048,Thu (T7–T9),1.0,2200000
GM00192,SP0048,Đông (T10–T12),0.85,1870000
GM00193,SP0049,Xuân (T1–T3),1.15,207000
GM00194,SP0049,Hè (T4–T6),1.35,243000
GM00195,SP0049,Thu (T7–T9),1.0,180000
GM00196,SP0049,Đông (T10–T12),0.85,153000
GM00197,SP0050,Xuân (T1–T3),1.15,207000
GM00198,SP0050,Hè (T4–T6),1.35,243000
GM00199,SP0050,Thu (T7–T9),1.0,180000
GM00200,SP0050,Đông (T10–T12),0.85,153000
GM00201,SP0051,Xuân (T1–T3),1.15,207000
GM00202,SP0051,Hè (T4–T6),1.35,243000
GM00203,SP0051,Thu (T7–T9),1.0,180000
GM00204,SP0051,Đông (T10–T12),0.85,153000
GM00205,SP0052,Xuân (T1–T3),1.15,517000
GM00206,SP0052,Hè (T4–T6),1.35,608000
GM00207,SP0052,Thu (T7–T9),1.0,450000
GM00208,SP0052,Đông (T10–T12),0.85,382000
GM00209,SP0053,Xuân (T1–T3),1.15,207000
GM00210,SP0053,Hè (T4–T6),1.35,243000
GM00211,SP0053,Thu (T7–T9),1.0,180000
GM00212,SP0053,Đông (T10–T12),0.85,153000
GM00213,SP0054,Xuân (T1–T3),1.15,1127000
GM00214,SP0054,Hè (T4–T6),1.35,1323000
GM00215,SP0054,Thu (T7–T9),1.0,980000
GM00216,SP0054,Đông (T10–T12),0.85,833000
GM00217,SP0055,Xuân (T1–T3),1.15,2174000
GM00218,SP0055,Hè (T4–T6),1.35,2552000
GM00219,SP0055,Thu (T7–T9),1.0,1890000
GM00220,SP0055,Đông (T10–T12),0.85,1606000
GM00221,SP0056,Xuân (T1–T3),1.15,517000
GM00222,SP0056,Hè (T4–T6),1.35,608000
GM00223,SP0056,Thu (T7–T9),1.0,450000
GM00224,SP0056,Đông (T10–T12),0.85,382000
GM00225,SP0057,Xuân (T1–T3),1.15,402000
GM00226,SP0057,Hè (T4–T6),1.35,473000
GM00227,SP0057,Thu (T7–T9),1.0,350000
GM00228,SP0057,Đông (T10–T12),0.85,298000
GM00229,SP0058,Xuân (T1–T3),1.15,7475000
GM00230,SP0058,Hè (T4–T6),1.35,8775000
GM00231,SP0058,Thu (T7–T9),1.0,6500000
GM00232,SP0058,Đông (T10–T12),0.85,5525000
GM00233,SP0059,Xuân (T1–T3),1.15,1127000
GM00234,SP0059,Hè (T4–T6),1.35,1323000
GM00235,SP0059,Thu (T7–T9),1.0,980000
GM00236,SP0059,Đông (T10–T12),0.85,833000
GM00237,SP0060,Xuân (T1–T3),1.15,598000
GM00238,SP0060,Hè (T4–T6),1.35,702000
GM00239,SP0060,Thu (T7–T9),1.0,520000
GM00240,SP0060,Đông (T10–T12),0.85,442000
GM00241,SP0061,Xuân (T1–T3),1.15,57000
GM00242,SP0061,Hè (T4–T6),1.35,68000
GM00243,SP0061,Thu (T7–T9),1.0,50000
GM00244,SP0061,Đông (T10–T12),0.85,42000
GM00245,SP0062,Xuân (T1–T3),1.15,2530000
GM00246,SP0062,Hè (T4–T6),1.35,2970000
GM00247,SP0062,Thu (T7–T9),1.0,2200000
GM00248,SP0062,Đông (T10–T12),0.85,1870000
GM00249,SP0063,Xuân (T1–T3),1.15,288000
GM00250,SP0063,Hè (T4–T6),1.35,338000
GM00251,SP0063,Thu (T7–T9),1.0,250000
GM00252,SP0063,Đông (T10–T12),0.85,212000
GM00253,SP0064,Xuân (T1–T3),1.15,517000
GM00254,SP0064,Hè (T4–T6),1.35,608000
GM00255,SP0064,Thu (T7–T9),1.0,450000
GM00256,SP0064,Đông (T10–T12),0.85,382000
GM00257,SP0065,Xuân (T1–T3),1.15,172000
GM00258,SP0065,Hè (T4–T6),1.35,202000
GM00259,SP0065,Thu (T7–T9),1.0,150000
GM00260,SP0065,Đông (T10–T12),0.85,128000
GM00261,SP0066,Xuân (T1–T3),1.15,552000
GM00262,SP0066,Hè (T4–T6),1.35,648000
GM00263,SP0066,Thu (T7–T9),1.0,480000
GM00264,SP0066,Đông (T10–T12),0.85,408000
GM00265,SP0067,Xuân (T1–T3),1.15,57000
GM00266,SP0067,Hè (T4–T6),1.35,68000
GM00267,SP0067,Thu (T7–T9),1.0,50000
GM00268,SP0067,Đông (T10–T12),0.85,42000
GM00269,SP0068,Xuân (T1–T3),1.15,2174000
GM00270,SP0068,Hè (T4–T6),1.35,2552000
GM00271,SP0068,Thu (T7–T9),1.0,1890000
GM00272,SP0068,Đông (T10–T12),0.85,1606000
GM00273,SP0069,Xuân (T1–T3),1.15,138000
GM00274,SP0069,Hè (T4–T6),1.35,162000
GM00275,SP0069,Thu (T7–T9),1.0,120000
GM00276,SP0069,Đông (T10–T12),0.85,102000
GM00277,SP0070,Xuân (T1–T3),1.15,172000
GM00278,SP0070,Hè (T4–T6),1.35,202000
GM00279,SP0070,Thu (T7–T9),1.0,150000
GM00280,SP0070,Đông (T10–T12),0.85,128000
GM00281,SP0071,Xuân (T1–T3),1.15,1127000
GM00282,SP0071,Hè (T4–T6),1.35,1323000
GM00283,SP0071,Thu (T7–T9),1.0,980000
GM00284,SP0071,Đông (T10–T12),0.85,833000
GM00285,SP0072,Xuân (T1–T3),1.15,138000
GM00286,SP0072,Hè (T4–T6),1.35,162000
GM00287,SP0072,Thu (T7–T9),1.0,120000
GM00288,SP0072,Đông (T10–T12),0.85,102000
GM00289,SP0073,Xuân (T1–T3),1.15,1667000
GM00290,SP0073,Hè (T4–T6),1.35,1958000
GM00291,SP0073,Thu (T7–T9),1.0,1450000
GM00292,SP0073,Đông (T10–T12),0.85,1232000
GM00293,SP0074,Xuân (T1–T3),1.15,3680000
GM00294,SP0074,Hè (T4–T6),1.35,4320000
GM00295,SP0074,Thu (T7–T9),1.0,3200000
GM00296,SP0074,Đông (T10–T12),0.85,2720000
GM00297,SP0075,Xuân (T1–T3),1.15,402000
GM00298,SP0075,Hè (T4–T6),1.35,473000
GM00299,SP0075,Thu (T7–T9),1.0,350000
GM00300,SP0075,Đông (T10–T12),0.85,298000
GM00301,SP0076,Xuân (T1–T3),1.15,1127000
GM00302,SP0076,Hè (T4–T6),1.35,1323000
GM00303,SP0076,Thu (T7–T9),1.0,980000
GM00304,SP0076,Đông (T10–T12),0.85,833000
GM00305,SP0077,Xuân (T1–T3),1.15,207000
GM00306,SP0077,Hè (T4–T6),1.35,243000
GM00307,SP0077,Thu (T7–T9),1.0,180000
GM00308,SP0077,Đông (T10–T12),0.85,153000
GM00309,SP0078,Xuân (T1–T3),1.15,2818000
GM00310,SP0078,Hè (T4–T6),1.35,3308000
GM00311,SP0078,Thu (T7–T9),1.0,2450000
GM00312,SP0078,Đông (T10–T12),0.85,2082000
GM00313,SP0079,Xuân (T1–T3),1.15,1484000
GM00314,SP0079,Hè (T4–T6),1.35,1742000
GM00315,SP0079,Thu (T7–T9),1.0,1290000
GM00316,SP0079,Đông (T10–T12),0.85,1096000
GM00317,SP0080,Xuân (T1–T3),1.15,517000
GM00318,SP0080,Hè (T4–T6),1.35,608000
GM00319,SP0080,Thu (T7–T9),1.0,450000
GM00320,SP0080,Đông (T10–T12),0.85,382000
GM00321,SP0081,Xuân (T1–T3),1.15,172000
GM00322,SP0081,Hè (T4–T6),1.35,202000
GM00323,SP0081,Thu (T7–T9),1.0,150000
GM00324,SP0081,Đông (T10–T12),0.85,128000
GM00325,SP0082,Xuân (T1–T3),1.15,402000
GM00326,SP0082,Hè (T4–T6),1.35,473000
GM00327,SP0082,Thu (T7–T9),1.0,350000
GM00328,SP0082,Đông (T10–T12),0.85,298000
GM00329,SP0083,Xuân (T1–T3),1.15,517000
GM00330,SP0083,Hè (T4–T6),1.35,608000
GM00331,SP0083,Thu (T7–T9),1.0,450000
GM00332,SP0083,Đông (T10–T12),0.85,382000
GM00333,SP0084,Xuân (T1–T3),1.15,1484000
GM00334,SP0084,Hè (T4–T6),1.35,1742000
GM00335,SP0084,Thu (T7–T9),1.0,1290000
GM00336,SP0084,Đông (T10–T12),0.85,1096000
GM00337,SP0085,Xuân (T1–T3),1.15,299000
GM00338,SP0085,Hè (T4–T6),1.35,351000
GM00339,SP0085,Thu (T7–T9),1.0,260000
GM00340,SP0085,Đông (T10–T12),0.85,221000
GM00341,SP0086,Xuân (T1–T3),1.15,977000
GM00342,SP0086,Hè (T4–T6),1.35,1148000
GM00343,SP0086,Thu (T7–T9),1.0,850000
GM00344,SP0086,Đông (T10–T12),0.85,722000
GM00345,SP0087,Xuân (T1–T3),1.15,517000
GM00346,SP0087,Hè (T4–T6),1.35,608000
GM00347,SP0087,Thu (T7–T9),1.0,450000
GM00348,SP0087,Đông (T10–T12),0.85,382000
GM00349,SP0088,Xuân (T1–T3),1.15,1127000
GM00350,SP0088,Hè (T4–T6),1.35,1323000
GM00351,SP0088,Thu (T7–T9),1.0,980000
GM00352,SP0088,Đông (T10–T12),0.85,833000
GM00353,SP0089,Xuân (T1–T3),1.15,862000
GM00354,SP0089,Hè (T4–T6),1.35,1013000
GM00355,SP0089,Thu (T7–T9),1.0,750000
GM00356,SP0089,Đông (T10–T12),0.85,638000
GM00357,SP0090,Xuân (T1–T3),1.15,402000
GM00358,SP0090,Hè (T4–T6),1.35,473000
GM00359,SP0090,Thu (T7–T9),1.0,350000
GM00360,SP0090,Đông (T10–T12),0.85,298000
GM00361,SP0091,Xuân (T1–T3),1.15,977000
GM00362,SP0091,Hè (T4–T6),1.35,1148000
GM00363,SP0091,Thu (T7–T9),1.0,850000
GM00364,SP0091,Đông (T10–T12),0.85,722000
GM00365,SP0092,Xuân (T1–T3),1.15,207000
GM00366,SP0092,Hè (T4–T6),1.35,243000
GM00367,SP0092,Thu (T7–T9),1.0,180000
GM00368,SP0092,Đông (T10–T12),0.85,153000
GM00369,SP0093,Xuân (T1–T3),1.15,207000
GM00370,SP0093,Hè (T4–T6),1.35,243000
GM00371,SP0093,Thu (T7–T9),1.0,180000
GM00372,SP0093,Đông (T10–T12),0.85,153000
GM00373,SP0094,Xuân (T1–T3),1.15,862000
GM00374,SP0094,Hè (T4–T6),1.35,1013000
GM00375,SP0094,Thu (T7–T9),1.0,750000
GM00376,SP0094,Đông (T10–T12),0.85,638000
GM00377,SP0095,Xuân (T1–T3),1.15,2530000
GM00378,SP0095,Hè (T4–T6),1.35,2970000
GM00379,SP0095,Thu (T7–T9),1.0,2200000
GM00380,SP0095,Đông (T10–T12),0.85,1870000
GM00381,SP0096,Xuân (T1–T3),1.15,57000
GM00382,SP0096,Hè (T4–T6),1.35,68000
GM00383,SP0096,Thu (T7–T9),1.0,50000
GM00384,SP0096,Đông (T10–T12),0.85,42000
GM00385,SP0097,Xuân (T1–T3),1.15,793000
GM00386,SP0097,Hè (T4–T6),1.35,932000
GM00387,SP0097,Thu (T7–T9),1.0,690000
GM00388,SP0097,Đông (T10–T12),0.85,586000
GM00389,SP0098,Xuân (T1–T3),1.15,3680000
GM00390,SP0098,Hè (T4–T6),1.35,4320000
GM00391,SP0098,Thu (T7–T9),1.0,3200000
GM00392,SP0098,Đông (T10–T12),0.85,2720000
GM00393,SP0099,Xuân (T1–T3),1.15,862000
GM00394,SP0099,Hè (T4–T6),1.35,1013000
GM00395,SP0099,Thu (T7–T9),1.0,750000
GM00396,SP0099,Đông (T10–T12),0.85,638000
GM00397,SP0100,Xuân (T1–T3),1.15,598000
GM00398,SP0100,Hè (T4–T6),1.35,702000
GM00399,SP0100,Thu (T7–T9),1.0,520000
GM00400,SP0100,Đông (T10–T12),0.85,442000
GM00401,SP0101,Xuân (T1–T3),1.15,207000
GM00402,SP0101,Hè (T4–T6),1.35,243000
GM00403,SP0101,Thu (T7–T9),1.0,180000
GM00404,SP0101,Đông (T10–T12),0.85,153000
GM00405,SP0102,Xuân (T1–T3),1.15,3680000
GM00406,SP0102,Hè (T4–T6),1.35,4320000
GM00407,SP0102,Thu (T7–T9),1.0,3200000
GM00408,SP0102,Đông (T10–T12),0.85,2720000
GM00409,SP0103,Xuân (T1–T3),1.15,517000
GM00410,SP0103,Hè (T4–T6),1.35,608000
GM00411,SP0103,Thu (T7–T9),1.0,450000
GM00412,SP0103,Đông (T10–T12),0.85,382000
GM00413,SP0104,Xuân (T1–T3),1.15,138000
GM00414,SP0104,Hè (T4–T6),1.35,162000
GM00415,SP0104,Thu (T7–T9),1.0,120000
GM00416,SP0104,Đông (T10–T12),0.85,102000
GM00417,SP0105,Xuân (T1–T3),1.15,288000
GM00418,SP0105,Hè (T4–T6),1.35,338000
GM00419,SP0105,Thu (T7–T9),1.0,250000
GM00420,SP0105,Đông (T10–T12),0.85,212000
GM00421,SP0106,Xuân (T1–T3),1.15,1127000
GM00422,SP0106,Hè (T4–T6),1.35,1323000
GM00423,SP0106,Thu (T7–T9),1.0,980000
GM00424,SP0106,Đông (T10–T12),0.85,833000
GM00425,SP0107,Xuân (T1–T3),1.15,288000
GM00426,SP0107,Hè (T4–T6),1.35,338000
GM00427,SP0107,Thu (T7–T9),1.0,250000
GM00428,SP0107,Đông (T10–T12),0.85,212000
GM00429,SP0108,Xuân (T1–T3),1.15,552000
GM00430,SP0108,Hè (T4–T6),1.35,648000
GM00431,SP0108,Thu (T7–T9),1.0,480000
GM00432,SP0108,Đông (T10–T12),0.85,408000
GM00433,SP0109,Xuân (T1–T3),1.15,2530000
GM00434,SP0109,Hè (T4–T6),1.35,2970000
GM00435,SP0109,Thu (T7–T9),1.0,2200000
GM00436,SP0109,Đông (T10–T12),0.85,1870000
GM00437,SP0110,Xuân (T1–T3),1.15,103000
GM00438,SP0110,Hè (T4–T6),1.35,122000
GM00439,SP0110,Thu (T7–T9),1.0,90000
GM00440,SP0110,Đông (T10–T12),0.85,76000
GM00441,SP0111,Xuân (T1–T3),1.15,402000
GM00442,SP0111,Hè (T4–T6),1.35,473000
GM00443,SP0111,Thu (T7–T9),1.0,350000
GM00444,SP0111,Đông (T10–T12),0.85,298000
GM00445,SP0112,Xuân (T1–T3),1.15,862000
GM00446,SP0112,Hè (T4–T6),1.35,1013000
GM00447,SP0112,Thu (T7–T9),1.0,750000
GM00448,SP0112,Đông (T10–T12),0.85,638000
GM00449,SP0113,Xuân (T1–T3),1.15,299000
GM00450,SP0113,Hè (T4–T6),1.35,351000
GM00451,SP0113,Thu (T7–T9),1.0,260000
GM00452,SP0113,Đông (T10–T12),0.85,221000
GM00453,SP0114,Xuân (T1–T3),1.15,299000
GM00454,SP0114,Hè (T4–T6),1.35,351000
GM00455,SP0114,Thu (T7–T9),1.0,260000
GM00456,SP0114,Đông (T10–T12),0.85,221000
GM00457,SP0115,Xuân (T1–T3),1.15,138000
GM00458,SP0115,Hè (T4–T6),1.35,162000
GM00459,SP0115,Thu (T7–T9),1.0,120000
GM00460,SP0115,Đông (T10–T12),0.85,102000
GM00461,SP0116,Xuân (T1–T3),1.15,2530000
GM00462,SP0116,Hè (T4–T6),1.35,2970000
GM00463,SP0116,Thu (T7–T9),1.0,2200000
GM00464,SP0116,Đông (T10–T12),0.85,1870000
GM00465,SP0117,Xuân (T1–T3),1.15,138000
GM00466,SP0117,Hè (T4–T6),1.35,162000
GM00467,SP0117,Thu (T7–T9),1.0,120000
GM00468,SP0117,Đông (T10–T12),0.85,102000
GM00469,SP0118,Xuân (T1–T3),1.15,207000
GM00470,SP0118,Hè (T4–T6),1.35,243000
GM00471,SP0118,Thu (T7–T9),1.0,180000
GM00472,SP0118,Đông (T10–T12),0.85,153000
GM00473,SP0119,Xuân (T1–T3),1.15,299000
GM00474,SP0119,Hè (T4–T6),1.35,351000
GM00475,SP0119,Thu (T7–T9),1.0,260000
GM00476,SP0119,Đông (T10–T12),0.85,221000
GM00477,SP0120,Xuân (T1–T3),1.15,57000
GM00478,SP0120,Hè (T4–T6),1.35,68000
GM00479,SP0120,Thu (T7–T9),1.0,50000
GM00480,SP0120,Đông (T10–T12),0.85,42000
GM00481,SP0121,Xuân (T1–T3),1.15,3680000
GM00482,SP0121,Hè (T4–T6),1.35,4320000
GM00483,SP0121,Thu (T7–T9),1.0,3200000
GM00484,SP0121,Đông (T10–T12),0.85,2720000
GM00485,SP0122,Xuân (T1–T3),1.15,977000
GM00486,SP0122,Hè (T4–T6),1.35,1148000
GM00487,SP0122,Thu (T7–T9),1.0,850000
GM00488,SP0122,Đông (T10–T12),0.85,722000
GM00489,SP0123,Xuân (T1–T3),1.15,2174000
GM00490,SP0123,Hè (T4–T6),1.35,2552000
GM00491,SP0123,Thu (T7–T9),1.0,1890000
GM00492,SP0123,Đông (T10–T12),0.85,1606000
GM00493,SP0124,Xuân (T1–T3),1.15,57000
GM00494,SP0124,Hè (T4–T6),1.35,68000
GM00495,SP0124,Thu (T7–T9),1.0,50000
GM00496,SP0124,Đông (T10–T12),0.85,42000
GM00497,SP0125,Xuân (T1–T3),1.15,977000
GM00498,SP0125,Hè (T4–T6),1.35,1148000
GM00499,SP0125,Thu (T7–T9),1.0,850000
GM00500,SP0125,Đông (T10–T12),0.85,722000
GM00501,SP0126,Xuân (T1–T3),1.15,7475000
GM00502,SP0126,Hè (T4–T6),1.35,8775000
GM00503,SP0126,Thu (T7–T9),1.0,6500000
GM00504,SP0126,Đông (T10–T12),0.85,5525000
GM00505,SP0127,Xuân (T1–T3),1.15,172000
