ma_don,ma_nguoi_dung,ngay_dat,trang_thai,tong_tien,phi_huy,so_tien_hoan,kenh_dat,ghi_chu
DH00059,ND0036,2025-10-31,da_thanh_toan,1874000,0,0,tong_dai,
DH00060,ND0108,2025-11-03,da_huy,3851000,1155300,0,ung_dung_di_dong,Cần đón tại sân bay
DH00061,ND0102,2025-10-19,hoan_tat,3908000,0,0,tong_dai,Đi cùng trẻ nhỏ
DH00062,ND0059,2025-10-23,da_thanh_toan,22425000,0,0,ung_dung_di_dong,
DH00063,ND0096,2025-10-12,da_huy,114000,34200,0,tong_dai,Yêu cầu ăn chay
DH00064,ND0054,2025-12-10,da_huy,207000,62100,0,tong_dai,
DH00065,ND0079,2025-10-22,da_thanh_toan,2968000,0,0,website,Cần đón tại sân bay
DH00066,ND0083,2025-10-07,cho_thanh_toan,7590000,0,0,ung_dung_di_dong,Cần đón tại sân bay
DH00067,ND0075,2025-11-09,da_thanh_toan,2586000,0,0,ung_dung_di_dong,
DH00068,ND0104,2025-09-24,cho_thanh_toan,2644000,0,0,ung_dung_di_dong,Yêu cầu ăn chay
DH00069,ND0044,2025-11-28,cho_thanh_toan,4436000,0,0,ung_dung_di_dong,
DH00070,ND0059,2025-10-15,cho_hoan_tien,3690000,1107000,2583000,website,Đi cùng trẻ nhỏ
DH00071,ND0080,2025-10-12,hoan_tat,1656000,0,0,website,Đi cùng trẻ nhỏ
DH00072,ND0038,2025-11-05,da_thanh_toan,412000,0,0,ung_dung_di_dong,
DH00073,ND0049,2025-12-25,da_thanh_toan,2311000,0,0,ung_dung_di_dong,Yêu cầu ăn chay
DH00074,ND0096,2025-10-27,hoan_tat,5060000,0,0,tong_dai,Cần đón tại sân bay
DH00075,ND0098,2025-11-21,da_thanh_toan,2931000,0,0,ung_dung_di_dong,Yêu cầu ăn chay
DH00076,ND0078,2025-11-09,hoan_tat,3381000,0,0,ung_dung_di_dong,
DH00077,ND0038,2025-11-14,da_thanh_toan,309000,0,0,tong_dai,
DH00078,ND0045,2025-12-01,hoan_tat,414000,0,0,website,Yêu cầu ăn chay
DH00079,ND0084,2026-01-01,hoan_tat,828000,0,0,tong_dai,
DH00080,ND0066,2026-01-05,da_thanh_toan,1104000,0,0,ung_dung_di_dong,
DH00081,ND0076,2025-12-17,hoan_tat,4425000,0,0,ung_dung_di_dong,Cần đón tại sân bay
DH00082,ND0042,2025-09-15,hoan_tat,3562000,0,0,tong_dai,
DH00083,ND0058,2025-12-30,da_thanh_toan,10856000,0,0,website,Cần đón tại sân bay
DH00084,ND0108,2025-12-28,da_thanh_toan,7844000,0,0,tong_dai,
DH00085,ND0097,2025-11-02,hoan_tat,1127000,0,0,tong_dai,Yêu cầu ăn chay
DH00086,ND0053,2025-09-07,da_huy,3908000,1172400,0,ung_dung_di_dong,Đi cùng trẻ nhỏ
DH00087,ND0101,2025-09-20,hoan_tat,4784000,0,0,tong_dai,Yêu cầu ăn chay
DH00088,ND0055,2025-10-16,da_huy,2068000,620400,0,ung_dung_di_dong,Yêu cầu ăn chay
DH00089,ND0076,2025-09-13,da_thanh_toan,207000,0,0,website,Cần đón tại sân bay
DH00090,ND0078,2025-10-06,da_thanh_toan,6483000,0,0,tong_dai,Đi cùng trẻ nhỏ
DH00091,ND0059,2025-10-12,hoan_tat,6878000,0,0,tong_dai,Cần đón tại sân bay
DH00092,ND0053,2025-09-24,hoan_tat,1954000,0,0,ung_dung_di_dong,Yêu cầu ăn chay
DH00093,ND0074,2025-09-28,cho_thanh_toan,4508000,0,0,tong_dai,Yêu cầu ăn chay
DH00094,ND0056,2025-10-07,hoan_tat,1034000,0,0,ung_dung_di_dong,Cần đón tại sân bay
DH00095,ND0047,2025-09-23,cho_hoan_tien,138000,41400,96600,ung_dung_di_dong,
DH00096,ND0061,2025-10-08,da_huy,1299000,389700,0,website,
DH00097,ND0038,2025-10-22,hoan_tat,288000,0,0,website,Đi cùng trẻ nhỏ
DH00098,ND0063,2025-10-03,hoan_tat,930000,0,0,tong_dai,
DH00099,ND0036,2025-12-20,da_thanh_toan,1345000,0,0,tong_dai,Cần đón tại sân bay
DH00100,ND0097,2025-12-25,cho_thanh_toan,14950000,0,0,tong_dai,Cần đón tại sân bay
DH00101,ND0109,2025-12-13,da_thanh_toan,1034000,0,0,tong_dai,
DH00102,ND0079,2025-09-24,da_thanh_toan,2392000,0,0,website,Yêu cầu ăn chay
DH00103,ND0062,2025-09-14,da_thanh_toan,1943000,0,0,website,
DH00104,ND0072,2025-12-02,da_thanh_toan,1127000,0,0,ung_dung_di_dong,Đi cùng trẻ nhỏ
DH00105,ND0053,2025-11-10,hoan_tat,849000,0,0,website,Cần đón tại sân bay
DH00106,ND0036,2025-12-12,da_thanh_toan,552000,0,0,ung_dung_di_dong,Cần đón tại sân bay
DH00107,ND0105,2025-10-23,cho_thanh_toan,5459000,0,0,ung_dung_di_dong,Yêu cầu ăn chay
DH00108,ND0063,2025-12-02,da_thanh_toan,5060000,0,0,ung_dung_di_dong,Đi cùng trẻ nhỏ
DH00109,ND0061,2025-12-25,da_thanh_toan,2908000,0,0,ung_dung_di_dong,
DH00110,ND0081,2025-09-22,hoan_tat,414000,0,0,tong_dai,Cần đón tại sân bay
DH00111,ND0062,2026-01-05,cho_thanh_toan,5060000,0,0,tong_dai,
DH00112,ND0100,2025-11-23,cho_thanh_toan,897000,0,0,website,Cần đón tại sân bay
DH00113,ND0098,2025-10-08,cho_hoan_tien,690000,207000,483000,tong_dai,
DH00114,ND0089,2025-09-08,da_huy,5347000,1604100,0,ung_dung_di_dong,Yêu cầu ăn chay
DH00115,ND0099,2025-11-05,cho_hoan_tien,11272000,3381600,7890400,tong_dai,
DH00116,ND0043,2025-11-25,da_thanh_toan,7590000,0,0,ung_dung_di_dong,
DH00117,ND0052,2025-12-17,hoan_tat,228000,0,0,ung_dung_di_dong,Cần đón tại sân bay
DH00118,ND0062,2025-12-10,da_thanh_toan,276000,0,0,website,Đi cùng trẻ nhỏ
DH00119,ND0039,2025-11-24,da_thanh_toan,2057000,0,0,website,
DH00120,ND0077,2025-12-05,hoan_tat,598000,0,0,tong_dai,Đi cùng trẻ nhỏ
DH00121,ND0078,2025-12-29,cho_thanh_toan,414000,0,0,ung_dung_di_dong,
DH00122,ND0093,2025-10-16,hoan_tat,3676000,0,0,website,Cần đón tại sân bay
DH00123,ND0084,2025-11-22,da_huy,299000,89700,0,website,Đi cùng trẻ nhỏ
DH00124,ND0037,2025-12-29,hoan_tat,1551000,0,0,ung_dung_di_dong,
DH00125,ND0062,2025-11-30,hoan_tat,4508000,0,0,ung_dung_di_dong,
DH00126,ND0098,2025-09-24,cho_hoan_tien,1127000,338100,788900,website,Cần đón tại sân bay
DH00127,ND0041,2025-09-13,hoan_tat,16077000,0,0,ung_dung_di_dong,
DH00128,ND0088,2025-11-27,da_thanh_toan,2770000,0,0,website,Yêu cầu ăn chay
DH00129,ND0077,2025-11-20,da_thanh_toan,621000,0,0,ung_dung_di_dong,
DH00130,ND0110,2025-10-04,hoan_tat,23289000,0,0,tong_dai,
DH00131,ND0097,2025-11-23,da_thanh_toan,977000,0,0,ung_dung_di_dong,Cần đón tại sân bay
DH00132,ND0098,2025-09-08,da_thanh_toan,5001000,0,0,website,
DH00133,ND0090,2025-11-26,cho_thanh_toan,4136000,0,0,website,Đi cùng trẻ nhỏ
DH00134,ND0097,2025-10-18,da_thanh_toan,3334000,0,0,tong_dai,
DH00135,ND0089,2025-10-01,hoan_tat,2758000,0,0,website,Đi cùng trẻ nhỏ
DH00136,ND0098,2025-12-11,cho_hoan_tien,22425000,6727500,15697500,website,Đi cùng trẻ nhỏ
DH00137,ND0073,2025-12-25,da_thanh_toan,57000,0,0,website,Đi cùng trẻ nhỏ
DH00138,ND0079,2025-12-22,hoan_tat,5163000,0,0,tong_dai,
DH00139,ND0070,2025-11-15,hoan_tat,3082000,0,0,ung_dung_di_dong,
DH00140,ND0085,2025-11-19,da_thanh_toan,276000,0,0,website,
DH00141,ND0062,2025-11-22,da_thanh_toan,552000,0,0,ung_dung_di_dong,
DH00142,ND0101,2025-09-15,hoan_tat,2208000,0,0,tong_dai,
DH00143,ND0061,2025-09-21,da_thanh_toan,1656000,0,0,website,Đi cùng trẻ nhỏ
DH00144,ND0058,2025-09-19,hoan_tat,6878000,0,0,website,Yêu cầu ăn chay
DH00145,ND0046,2025-10-16,cho_thanh_toan,828000,0,0,tong_dai,Cần đón tại sân bay
DH00146,ND0074,2025-10-19,hoan_tat,1608000,0,0,ung_dung_di_dong,
DH00147,ND0088,2025-10-23,da_thanh_toan,2818000,0,0,tong_dai,Cần đón tại sân bay
DH00148,ND0041,2025-09-24,hoan_tat,598000,0,0,tong_dai,Cần đón tại sân bay
DH00149,ND0040,2025-10-10,da_thanh_toan,9110000,0,0,ung_dung_di_dong,
DH00150,ND0098,2025-12-07,hoan_tat,6115000,0,0,ung_dung_di_dong,Yêu cầu ăn chay
DH00151,ND0076,2025-12-01,da_thanh_toan,862000,0,0,ung_dung_di_dong,
DH00152,ND0091,2025-09-16,hoan_tat,1425000,0,0,tong_dai,
DH00153,ND0037,2025-10-31,da_huy,402000,120600,0,tong_dai,
DH00154,ND0060,2026-01-04,hoan_tat,3334000,0,0,website,
DH00155,ND0065,2025-10-28,hoan_tat,3908000,0,0,website,
DH00156,ND0095,2026-01-05,hoan_tat,414000,0,0,tong_dai,Đi cùng trẻ nhỏ
DH00157,ND0104,2025-10-04,da_thanh_toan,57000,0,0,tong_dai,
DH00158,ND0071,2025-11-08,da_thanh_toan,344000,0,0,website,Cần đón tại sân bay
DH00159,ND0079,2025-09-07,da_thanh_toan,4508000,0,0,website,Yêu cầu ăn chay
DH00160,ND0089,2025-10-08,da_thanh_toan,3138000,0,0,website,Đi cùng trẻ nhỏ
DH00161,ND0096,2025-10-30,da_thanh_toan,7682000,0,0,tong_dai,
DH00162,ND0102,2025-10-19,cho_hoan_tien,103000,30900,72100,tong_dai,
DH00163,ND0092,2025-11-26,da_thanh_toan,414000,0,0,website,
DH00164,ND0093,2025-12-28,cho_thanh_toan,3381000,0,0,ung_dung_di_dong,Yêu cầu ăn chay
DH00165,ND0037,2025-11-24,hoan_tat,414000,0,0,ung_dung_di_dong,
DH00166,ND0074,2025-10-20,da_thanh_toan,2392000,0,0,website,Cần đón tại sân bay
DH00167,ND0061,2025-09-30,da_huy,1794000,538200,0,tong_dai,Yêu cầu ăn chay
DH00168,ND0078,2025-10-14,hoan_tat,402000,0,0,ung_dung_di_dong,Yêu cầu ăn chay
DH00169,ND0036,2026-01-04,hoan_tat,828000,0,0,website,Cần đón tại sân bay
DH00170,ND0041,2025-12-27,da_thanh_toan,793000,0,0,tong_dai,
DH00171,ND0076,2025-09-15,cho_thanh_toan,4486000,0,0,tong_dai,Yêu cầu ăn chay
DH00172,ND0087,2025-11-28,da_thanh_toan,1794000,0,0,ung_dung_di_dong,
DH00173,ND0053,2025-12-03,da_thanh_toan,2392000,0,0,website,Yêu cầu ăn chay
DH00174,ND0109,2025-10-14,hoan_tat,14950000,0,0,ung_dung_di_dong,
DH00175,ND0080,2025-10-18,hoan_tat,3448000,0,0,website,Yêu cầu ăn chay
DH00176,ND0097,2025-12-15,hoan_tat,1794000,0,0,website,
DH00177,ND0096,2025-11-30,da_thanh_toan,14375000,0,0,ung_dung_di_dong,Cần đón tại sân bay
DH00178,ND0071,2025-11-14,hoan_tat,2931000,0,0,ung_dung_di_dong,
DH00179,ND0052,2025-12-03,hoan_tat,8696000,0,0,website,Cần đón tại sân bay
DH00180,ND0110,2025-09-26,da_thanh_toan,4094000,0,0,website,Đi cùng trẻ nhỏ
DH00181,ND0092,2025-12-18,hoan_tat,828000,0,0,ung_dung_di_dong,
DH00182,ND0081,2025-10-12,da_huy,342000,102600,0,website,Yêu cầu ăn chay
DH00183,ND0052,2025-10-19,da_huy,1724000,517200,0,tong_dai,Đi cùng trẻ nhỏ
DH00184,ND0047,2025-10-30,cho_thanh_toan,27485000,0,0,website,
DH00185,ND0076,2025-11-10,hoan_tat,228000,0,0,ung_dung_di_dong,
DH00186,ND0073,2025-10-23,hoan_tat,3069000,0,0,tong_dai,Cần đón tại sân bay
DH00187,ND0103,2025-09-26,hoan_tat,2737000,0,0,ung_dung_di_dong,Đi cùng trẻ nhỏ
DH00188,ND0086,2025-12-22,hoan_tat,7128000,0,0,ung_dung_di_dong,Yêu cầu ăn chay
DH00189,ND0089,2025-10-15,hoan_tat,4368000,0,0,ung_dung_di_dong,Cần đón tại sân bay
DH00190,ND0069,2025-12-03,hoan_tat,14720000,0,0,tong_dai,Cần đón tại sân bay
DH00191,ND0045,2025-10-20,hoan_tat,3381000,0,0,tong_dai,Yêu cầu ăn chay
DH00192,ND0087,2025-10-02,cho_hoan_tien,414000,124200,289800,website,Đi cùng trẻ nhỏ
DH00193,ND0077,2025-12-29,da_thanh_toan,3506000,0,0,tong_dai,
DH00194,ND0092,2025-10-14,da_thanh_toan,7475000,0,0,tong_dai,Đi cùng trẻ nhỏ
DH00195,ND0091,2025-10-09,cho_thanh_toan,1206000,0,0,ung_dung_di_dong,Yêu cầu ăn chay
DH00196,ND0065,2025-12-27,hoan_tat,977000,0,0,website,Yêu cầu ăn chay
DH00197,ND0052,2025-12-24,hoan_tat,2772000,0,0,website,
DH00198,ND0062,2025-10-04,hoan_tat,5936000,0,0,website,Yêu cầu ăn chay
DH00199,ND0059,2025-10-07,da_thanh_toan,621000,0,0,tong_dai,Yêu cầu ăn chay
DH00200,ND0109,2025-10-20,cho_thanh_toan,1127000,0,0,ung_dung_di_dong,Cần đón tại sân bay
DH00201,ND0065,2025-11-27,da_huy,1127000,338100,0,tong_dai,Yêu cầu ăn chay
DH00202,ND0050,2025-10-29,da_thanh_toan,3448000,0,0,tong_dai,
DH00203,ND0105,2025-09-27,hoan_tat,1152000,0,0,tong_dai,
DH00204,ND0081,2025-10-24,da_thanh_toan,3908000,0,0,tong_dai,
DH00205,ND0085,2025-10-21,hoan_tat,828000,0,0,tong_dai,Đi cùng trẻ nhỏ
DH00206,ND0065,2025-09-27,da_thanh_toan,344000,0,0,tong_dai,Cần đón tại sân bay
DH00207,ND0110,2025-12-22,hoan_tat,552000,0,0,website,
DH00208,ND0104,2025-09-30,da_thanh_toan,3414000,0,0,ung_dung_di_dong,Đi cùng trẻ nhỏ
DH00209,ND0036,2025-12-27,da_thanh_toan,2379000,0,0,ung_dung_di_dong,
DH00210,ND0104,2025-11-06,cho_thanh_toan,3689000,0,0,website,Đi cùng trẻ nhỏ
DH00211,ND0038,2025-12-03,hoan_tat,57000,0,0,website,
DH00212,ND0041,2025-10-04,hoan_tat,2254000,0,0,ung_dung_di_dong,
DH00213,ND0073,2025-11-05,cho_thanh_toan,2530000,0,0,tong_dai,Yêu cầu ăn chay
DH00214,ND0105,2025-11-26,cho_hoan_tien,552000,165600,386400,tong_dai,Đi cùng trẻ nhỏ
DH00215,ND0060,2026-01-05,hoan_tat,3908000,0,0,tong_dai,
DH00216,ND0094,2026-01-05,da_thanh_toan,2575000,0,0,website,
DH00217,ND0097,2025-10-22,hoan_tat,7728000,0,0,tong_dai,Cần đón tại sân bay
DH00218,ND0099,2025-10-15,hoan_tat,1794000,0,0,ung_dung_di_dong,Cần đón tại sân bay
DH00219,ND0110,2025-11-13,da_thanh_toan,5636000,0,0,tong_dai,
DH00220,ND0094,2025-12-01,hoan_tat,11040000,0,0,website,Đi cùng trẻ nhỏ
DH00221,ND0108,2025-09-26,da_thanh_toan,1794000,0,0,website,Cần đón tại sân bay
DH00222,ND0078,2025-10-09,da_huy,5060000,1518000,0,ung_dung_di_dong,Yêu cầu ăn chay
DH00223,ND0110,2025-10-23,cho_thanh_toan,4046000,0,0,website,
DH00224,ND0089,2025-09-08,cho_thanh_toan,7590000,0,0,ung_dung_di_dong,
DH00225,ND0062,2025-11-01,da_thanh_toan,1172000,0,0,ung_dung_di_dong,
DH00226,ND0072,2025-12-02,hoan_tat,2092000,0,0,website,
DH00227,ND0036,2025-10-14,da_thanh_toan,3381000,0,0,ung_dung_di_dong,
DH00228,ND0095,2025-10-21,da_thanh_toan,14892000,0,0,ung_dung_di_dong,
DH00229,ND0099,2025-09-27,da_thanh_toan,1206000,0,0,tong_dai,Đi cùng trẻ nhỏ
DH00230,ND0077,2025-11-28,hoan_tat,5129000,0,0,website,
DH00231,ND0045,2025-11-22,cho_thanh_toan,414000,0,0,ung_dung_di_dong,Đi cùng trẻ nhỏ
DH00232,ND0067,2025-12-25,da_huy,1794000,538200,0,website,
DH00233,ND0040,2025-10-27,da_thanh_toan,1196000,0,0,tong_dai,Đi cùng trẻ nhỏ
DH00234,ND0109,2025-11-25,hoan_tat,7360000,0,0,tong_dai,
DH00235,ND0040,2025-12-24,hoan_tat,228000,0,0,ung_dung_di_dong,
DH00236,ND0099,2025-12-18,hoan_tat,207000,0,0,tong_dai,Yêu cầu ăn chay
DH00237,ND0053,2025-11-30,hoan_tat,598000,0,0,ung_dung_di_dong,
DH00238,ND0100,2025-09-22,da_huy,621000,186300,0,website,Cần đón tại sân bay
DH00239,ND0041,2025-12-29,da_huy,1034000,310200,0,website,
DH00240,ND0066,2025-12-23,hoan_tat,2254000,0,0,tong_dai,
DH00241,ND0093,2025-11-06,da_thanh_toan,3381000,0,0,website,
DH00242,ND0051,2025-12-12,hoan_tat,13066000,0,0,website,Yêu cầu ăn chay
DH00243,ND0109,2025-11-01,da_huy,1667000,500100,0,tong_dai,
DH00244,ND0059,2025-09-08,cho_hoan_tien,3334000,1000200,2333800,website,
DH00245,ND0091,2025-12-01,hoan_tat,29900000,0,0,website,
DH00246,ND0071,2025-11-09,hoan_tat,10924000,0,0,tong_dai,Đi cùng trẻ nhỏ
DH00247,ND0072,2025-10-09,hoan_tat,171000,0,0,tong_dai,
DH00248,ND0083,2025-09-16,da_thanh_toan,804000,0,0,tong_dai,
DH00249,ND0040,2025-11-15,da_thanh_toan,25667000,0,0,website,Đi cùng trẻ nhỏ
DH00250,ND0069,2025-11-07,hoan_tat,8696000,0,0,tong_dai,Yêu cầu ăn chay
DH00251,ND0094,2025-12-24,cho_thanh_toan,103000,0,0,ung_dung_di_dong,Cần đón tại sân bay
DH00252,ND0071,2025-11-20,cho_hoan_tien,7014000,2104200,4909800,ung_dung_di_dong,Cần đón tại sân bay
DH00253,ND0081,2025-11-18,hoan_tat,598000,0,0,ung_dung_di_dong,Cần đón tại sân bay
DH00254,ND0076,2025-10-08,da_thanh_toan,414000,0,0,website,Cần đón tại sân bay
DH00255,ND0063,2025-11-07,hoan_tat,2068000,0,0,tong_dai,
DH00256,ND0056,2025-12-29,hoan_tat,1127000,0,0,tong_dai,
DH00257,ND0043,2025-12-24,hoan_tat,2875000,0,0,tong_dai,
DH00258,ND0047,2025-10-23,da_huy,7360000,2208000,0,ung_dung_di_dong,
DH00259,ND0060,2025-12-17,hoan_tat,3680000,0,0,tong_dai,Đi cùng trẻ nhỏ
DH00260,ND0087,2025-09-07,hoan_tat,2818000,0,0,ung_dung_di_dong,Yêu cầu ăn chay
